S/N,Code,Description,Table,Classification,Cleaned_Description
11,SA711B,"BREAST, VARIOUS LESIONS, WIRE LOCALISATION, EXCISION (MULTIPLE)",3B,Existing,breast various lesion wire localisation excision multiple
12,SA712B,"BREAST, VARIOUS LESIONS, WIRE LOCALISATION, EXCISION (SINGLE)",3A,Existing,breast various lesion wire localisation excision single
13,SA713B,"BREAST, POST MASTECTOMY, RECONSTRUCTION USING PEDICLED TRANSVERSE RECTUS ABDOMINIS MUSCULOCUTANEOUS FLAP (UNILATERAL)",6A,Existing,breast post mastectomy reconstruction using pedicled transverse rectus abdominis musculocutaneous flap unilateral
14,SA800B,"BREAST (NIPPLE), VARIOUS LESIONS, GRAFT AND/OR FLAP RECONSTRUCTION (BILATERAL)",4B,Existing,breast nipple various lesion graft andor flap reconstruction bilateral
15,SA801B,"BREAST (NIPPLE), VARIOUS LESIONS, GRAFT AND/OR FLAP RECONSTRUCTION (UNILATERAL)",4A,Existing,breast nipple various lesion graft andor flap reconstruction unilateral
16,SA802B,"BREAST, DIFFUSE HYPERTROPHY, REDUCTION MAMMOPLASTY >500G (BILATERAL)",6A,Existing,breast diffuse hypertrophy reduction mammoplasty 500g bilateral
17,SA803B,"BREAST, DIFFUSE HYPERTROPHY, REDUCTION >250G (UNILATERAL)",4B,Existing,breast diffuse hypertrophy reduction 250g unilateral
18,SA804B,"BREAST, DROOPING, MASTOPEXY/REDUCTION (BILATERAL)",5B,Existing,breast drooping mastopexyreduction bilateral
19,SA805B,"BREAST, DROOPING, MASTOPEXY/REDUCTION (UNILATERAL)",4A,Existing,breast drooping mastopexyreduction unilateral
20,SA806B,"BREAST, GYNECOMASTIA, REDUCTION (BILATERAL)",4A,Existing,breast gynecomastia reduction bilateral
21,SA807B,"BREAST, GYNECOMASTIA, REDUCTION (UNILATERAL)",3A,Existing,breast gynecomastia reduction unilateral
22,SA808B,"BREAST, HYPOPLASIA, AUGMENTATION MAMMOPLASTY (PROSTHETIC AND BILATERAL)",4A,Existing,breast hypoplasia augmentation mammoplasty prosthetic bilateral
23,SA809B,"BREAST, HYPOPLASIA, AUGMENTATION MAMMOPLASTY (PROSTHETIC AND UNILATERAL)",3A,Existing,breast hypoplasia augmentation mammoplasty prosthetic unilateral
24,SA810B,"BREAST, INVERTED NIPPLES, SURGICAL EVERSION (BILATERAL)",3A,Existing,breast inverted nipple surgical eversion bilateral
25,SA811B,"BREAST, INVERTED NIPPLE, SURGICAL EVERSION (UNILATERAL)",2C,Existing,breast inverted nipple surgical eversion unilateral
26,SA812B,"BREAST, LUMP (SINGLE), EXCISION BIOPSY",2C,Existing,breast lump single excision biopsy
27,SA813B,"BREAST, LUMPS (MULTIPLE/BILATERAL), EXCISION BIOPSY",3A,Existing,breast lump multiplebilateral excision biopsy
28,SA814B,"BREAST, POST MASTECTOMY, IMPLANT/EXPANDER RECONSTRUCTION/REMOVAL OF IMPLANT, CAPSULECTOMY AND REPLACEMENT (BILATERAL)",5A,Descriptor change,breast post mastectomy implantexpander reconstructionremoval implant capsulectomy replacement bilateral
29,SA815B,"BREAST, POST MASTECTOMY, IMPLANT/EXPANDER RECONSTRUCTION/REMOVAL OF IMPLANT, CAPSULECTOMY AND REPLACEMENT (UNILATERAL)",4A,Descriptor change,breast post mastectomy implantexpander reconstructionremoval implant capsulectomy replacement unilateral
30,SA816B,"BREAST, POST MASTECTOMY, LATISSMUS DORSI PEDICLED FLAP WITH OR WITHOUT IMPLANT RECONSTRUCTION (BILATERAL)",6C,Existing,breast post mastectomy latissmus dorsi pedicled flap without implant reconstruction bilateral
31,SA817B,"BREAST, POST MASTECTOMY, LATISSMUS DORSI PEDICLED FLAP WITH OR WITHOUT IMPLANT RECONSTRUCTION (UNILATERAL)",6A,Uptable,breast post mastectomy latissmus dorsi pedicled flap without implant reconstruction unilateral
32,SA818B,"BREAST, POST MASTECTOMY, RECONSTRUCTION USING PEDICLED TRANSVERSE RECTUS ABDOMINIS MUSCULOCUTANEOUS FLAP (BILATERAL)",7A,Existing,breast post mastectomy reconstruction using pedicled transverse rectus abdominis musculocutaneous flap bilateral
33,SA819B,"BREAST, POST MASTECTOMY, RECONSTRUCTION USING FREE FLAP (UNILATERAL)",7C,Existing,breast post mastectomy reconstruction using free flap unilateral
34,SA820B,"BREAST, POST PROSTHETIC CONTRACTION, CAPSULOTOMY (BILATERAL)",3A,Existing,breast post prosthetic contraction capsulotomy bilateral
35,SA821B,"BREAST, POST PROSTHETIC CONTRACTION, CAPSULOTOMY (UNILATERAL)",2C,Existing,breast post prosthetic contraction capsulotomy unilateral
36,SA822B,"BREAST, TUMOR (MALIGNANT), WIDE EXCISION/ LUMPECTOMY/SEGMENTAL MASTECTOMY/ PARTIAL MASTECTOMY",3C,Existing,breast tumor malignant wide excision lumpectomysegmental mastectomy partial mastectomy
37,SA823B,"BREAST, TUMOR (MALIGNANT), WIDE EXCISION/ LUMPECTOMY/SEGMENTAL MASTECTOMY/ PARTIAL MASTECTOMY, WITH AXILIARY CLEARANCE, WITH/WITHOUT SENTINEL NODE BIOPSY",4C,Existing,breast tumor malignant wide excision lumpectomysegmental mastectomy partial mastectomy axiliary clearance withwithout sentinel node biopsy
38,SA824B,"BREAST TUMOUR (MALIGNANT, VARIOUS LESIONS), SIMPLE MASTECTOMY WITH AXILLARY CLEARANCE, WITH/WITHOUT SENTINEL NODE BIOPSY",5A,Descriptor change,breast tumour malignant various lesion simple mastectomy axillary clearance withwithout sentinel node biopsy
39,SA825B,"BREAST, TUMOR (MALIGNANT), RADICAL MASTECTOMY WITH/WITHOUT AXILIARY CLEARANCE",5C,Existing,breast tumor malignant radical mastectomy withwithout axiliary clearance
40,SA826B,"BREAST, TUMOR (MALIGNANT, VARIOUS LESIONS), SIMPLE MASTECTOMY, THERAPEUTIC/PROPHYLACTIC",4A,"Descriptor
change",breast tumor malignant various lesion simple mastectomy therapeuticprophylactic
41,SA827B,"BREAST, TUMOR (MALIGNANT, VARIOUS LESIONS), SIMPLE MASTECTOMY WITH SENTINEL NODE BIOPSY/ AXILLARY NODE SAMPLING",4C,Descriptor change,breast tumor malignant various lesion simple mastectomy sentinel node biopsy axillary node sampling
42,SA829B,"BREAST, VARIOUS LESIONS, TRUCUT BIOPSY",1A,Existing,breast various lesion trucut biopsy
43,SA831B,"CONTRALATERAL MASTOPEXY/REDUCTION FOLLOWING BREAST, TUMOUR (MALIGNANT) WIDE EXCISION/LUMPECTOMY/SEGMENTAL OR PARTIAL MASTECTOMY, WITH OR WITHOUT SENTINEL NODE BIOPSY AND/OR AXILLARY CLEARANCE",4A,Existing,contralateral mastopexyreduction following breast tumour malignant wide excisionlumpectomysegmental partial mastectomy without sentinel node biopsy andor axillary clearance
44,SA832B,"IPSILATERAL MASTOPEXY/REDUCTION FOLLOWING BREAST, TUMOUR (MALIGNANT) WIDE EXCISION/LUMPECTOMY/SEGMENTAL OR PARTIAL MASTECTOMY, WITH OR WITHOUT SENTINEL NODE BIOPSY AND/OR AXILLARY CLEARANCE",4A,Existing,ipsilateral mastopexyreduction following breast tumour malignant wide excisionlumpectomysegmental partial mastectomy without sentinel node biopsy andor axillary clearance
45,SA833B,"BREAST, VARIOUS LESIONS, NIPPLE/SKIN SPARING/SUBCUTANOUS MASTECTOMY, THERAPEUTIC/PROPHYLACTIC, EXCLUDING GYNAECOMASTIA, UNILATERAL/BILATERAL",4C,Descriptor change,breast various lesion nippleskin sparingsubcutanous mastectomy therapeuticprophylactic excluding gynaecomastia unilateralbilateral
46,SA834B,"BREAST, TUMOR (MALIGNANT), NIPPLE/SKIN SPARING MASTECTOMY WITH SENTINEL NODE BIOPSY/AXILIARY NODE SAMPLING",5A,Existing,breast tumor malignant nippleskin sparing mastectomy sentinel node biopsyaxiliary node sampling
47,SA835B,"BREAST, TUMOR (MALIGNANT), NIPPLE/SKIN SPARING MASTECTOMY WITH AXILIARY CLEARANCE, WITH/WITHOUT SENTINEL NODE BIOPSY",5C,Existing,breast tumor malignant nippleskin sparing mastectomy axiliary clearance withwithout sentinel node biopsy
48,SA800F,"FASCIA (DEEP), RUPTURE WITH HERNIATED MUSCLE, REPAIR",1B,Existing,fascia deep rupture herniated muscle repair
49,SA812F,"FAT TRANSFER, CORRECTION OF CONTOURS/CONGENITAL DEFORMITIES, RECONSTRUCTION POST ABLATIVE SURGERY/TRAUMA, <=50CC",2A,Existing,fat transfer correction contourscongenital deformity reconstruction post ablative surgerytrauma 50cc
50,SA813F,"FAT TRANSFER, CORRECTION OF CONTOURS/CONGENITAL DEFORMITIES, RECONSTRUCTION POST ABLATIVE SURGERY/TRAUMA, 50 - 100CC",3A,Existing,fat transfer correction contourscongenital deformity reconstruction post ablative surgerytrauma 50 100cc
51,SA814F,"FAT TRANSFER, CORRECTION OF CONTOURS/CONGENITAL DEFORMITIES, RECONSTRUCTION POST ABLATIVE SURGERY/TRAUMA, >= 100CC",3B,Existing,fat transfer correction contourscongenital deformity reconstruction post ablative surgerytrauma 100cc
52,SA800H,"HAND, BURNS (MAJOR), EXCISION AND SPLIT SKIN GRAFT",4A,Existing,hand burn major excision split skin graft
53,SA800M,"MUCOUS MEMBRANE (EAR/NOSE/EYELID) AVULSION/COMPLEX LACERATION, FULL THICKNESS REPAIR",3A,Existing,mucous membrane earnoseeyelid avulsioncomplex laceration full thickness repair
54,SA801M,"MUCOUS MEMBRANE, DEEP LACERATION/MULTIPLE LACERATIONS, REPAIR",3A,Existing,mucous membrane deep lacerationmultiple laceration repair
55,SA802M,"MUCOUS MEMBRANE, SUPERFICIAL LACERATION EQUAL/LESS THAN 7CM, REPAIR",1B,Existing,mucous membrane superficial laceration equalless 7cm repair
56,SA803M,"MUCOUS MEMBRANE, SUPERFICIAL LACERATION(S) MORE THAN 7 CM, REPAIR",2B,Existing,mucous membrane superficial laceration 7 cm repair
57,SA804M,"MUCOUS MEMBRANE, TUMOR/CYST/ULCER/SCAR, EXCISION",2B,Existing,mucous membrane tumorcystulcerscar excision
58,SA805M,"MUSCLE AND DEEP TISSUE, FOREIGN BODY, REMOVAL",2C,Existing,muscle deep tissue foreign body removal
59,SA700R,"RADIOTHERAPY, ENDOLUMINAL BRACHYTHERAPY: OESOPHAGUS, NASOPHARYNGEAL CARCINOMA (NPC), HEPATOBILIARY, CARDIAC, LUNG, OTHERS",2B,Existing,radiotherapy endoluminal brachytherapy oesophagus nasopharyngeal carcinoma npc hepatobiliary cardiac lung others
60,SA701R,"RADIOTHERAPY, INTERSTITIAL BRACHYTHERAPY (WITH/WITHOUT OPEN SURGERY)",4B,Existing,radiotherapy interstitial brachytherapy withwithout open surgery
61,SA702R,"RADIOTHERAPY, INTERSTITIAL BRACHYTHERAPY (WITHOUT OPEN SURGERY): PROSTATE",5A,Existing,radiotherapy interstitial brachytherapy without open surgery prostate
62,SA703R,"RADIOTHERAPY, INTRACAVITARY BRACHYTHERAPY (MULTI-CHANNEL): CERVIX, OTHERS",2C,Existing,radiotherapy intracavitary brachytherapy multichannel cervix others
63,SA704R,"RADIOTHERAPY, INTRACAVITARY BRACHYTHERAPY (SINGLE CHANNEL): ENDOMETRIUM, OTHERS",2A,Existing,radiotherapy intracavitary brachytherapy single channel endometrium others
64,SA705R,"RADIOTHERAPY, INTRA-OPERATIVE RADIOTHERAPY (ELECTRONS OR KILOVOLTAGE): BREAST, SARCOMA, UPPER GI, LOWER GI, OTHER SITES",3A,Existing,radiotherapy intraoperative radiotherapy electron kilovoltage breast sarcoma upper gi lower gi site
65,SA700S,"SKIN (UPPER LIMB), OPEN WOUND, MAJOR DESLOUGHING",2A,Existing,skin upper limb open wound major desloughing
66,SA701S,"SKIN AND SUBCUTANEOUS TISSUE, TUMOR/CYST/ULCER/SCAR, EXCISION BIOPSY,  REMOVAL OF 2 OR MORE OR RECURRENT  OR COMPLICATED (ADHERENT), EXCISION",2A,Existing,skin subcutaneous tissue tumorcystulcerscar excision biopsy removal 2 recurrent complicated adherent excision
67,SA702S,"SKIN AND SUBCUTANEOUS TISSUE, TUMOR/CYST/ULCER/SCAR, EXCISION BIOPSY, LESION SIZE MORE THAN 15MM IN DIAMETER",1B,Existing,skin subcutaneous tissue tumorcystulcerscar excision biopsy lesion size 15mm diameter
68,SA704S,"SKIN CANCER, MOHS MICROGRAPHIC SURGERY WITHOUT RECONSTRUCTION",2B,Existing,skin cancer mohs micrographic surgery without reconstruction
69,SA705S,"SKIN, DEFECT, DISTANT SKIN FLAPS",4B,Existing,skin defect distant skin flap
70,SA706S,"SKIN, DEFECT, NEUROVASCULAR ISLAND FLAP",5A,Existing,skin defect neurovascular island flap
71,SA707S,"SKIN, NEUROMAS/HEMANGIOMAS, EXCISION/VAPORISATION BY LASER AND OTHER ABLATIVE MODALITIES, THERAPEUTIC",1C,Existing,skin neuromashemangiomas excisionvaporisation laser ablative modality therapeutic
72,SA708S,"SKIN, SURGICAL TREATMENT FOR VITILIGO (INVOLVING NON-CULTURED CELLULAR GRAFTING) (<20 SQ CM)",3C,Existing,skin surgical treatment vitiligo involving noncultured cellular grafting 20 sq cm
73,SA709S,"SKIN, SURGICAL TREATMENT FOR VITILIGO (INVOLVING NON-CULTURED CELLULAR GRAFTING) (>40 SQ CM)",4B,Existing,skin surgical treatment vitiligo involving noncultured cellular grafting 40 sq cm
74,SA710S,"SKIN, SURGICAL TREATMENT FOR VITILIGO (INVOLVING NON-CULTURED CELLULAR GRAFTING) (20-40 SQ CM)",4A,Existing,skin surgical treatment vitiligo involving noncultured cellular grafting 2040 sq cm
75,SA711S,"SOFT TISSUE (LOWER LIMB), CONTRACTURE, MAJOR RELEASE",4A,Existing,soft tissue lower limb contracture major release
76,SA712S,"SOFT TISSUE (LOWER LIMB), CONTRACTURE, MINOR RELEASE",2C,Existing,soft tissue lower limb contracture minor release
77,SA713S,"SOFT TISSUE (LOWER LIMB), OPEN WOUND/INFECTION, MAJOR DESLOUGHING",2A,Existing,soft tissue lower limb open woundinfection major desloughing
78,SA714S,"SOFT TISSUE (LOWER LIMB), SMALL TUMORS (BENIGN), EXCISION BIOPSY UNDER GENERAL ANESTHESIA",1B,Existing,soft tissue lower limb small tumor benign excision biopsy general anesthesia
79,SA715S,"SOFT TISSUE (LOWER LIMB), TUMOR/TUMOR-LIKE LESIONS, MARGINAL EXCISION",2C,Existing,soft tissue lower limb tumortumorlike lesion marginal excision
80,SA716S,"SOFT TISSUE (LOWER LIMB), TUMORS (BENIGN), WIDE EXCISION BIOPSY",4A,Existing,soft tissue lower limb tumor benign wide excision biopsy
81,SA717S,"SOFT TISSUE (LOWER LIMB), TUMORS (MALIGNANT), RADICAL EXCISION BIOPSY",5C,Existing,soft tissue lower limb tumor malignant radical excision biopsy
82,SA718S,"SOFT TISSUE (LOWER LIMB), VARIOUS LESIONS, MAJOR RELEASE",4B,Existing,soft tissue lower limb various lesion major release
83,SA719S,"SOFT TISSUE (LOWER LIMB), VARIOUS LESIONS, MINOR RELEASE",3A,Existing,soft tissue lower limb various lesion minor release
84,SA720S,"SOFT TISSUE (PALMAR SPACE), ABSCESS, DRAINAGE",2B,Existing,soft tissue palmar space abscess drainage
85,SA721S,"SOFT TISSUE (UPPER LIMB), TUMORS (BENIGN), MAJOR EXCISION BIOPSY",4A,Existing,soft tissue upper limb tumor benign major excision biopsy
86,SA722S,"SOFT TISSUE (UPPER LIMB), TUMORS (MALIGNANT), RADICAL EXCISION BIOPSY",6B,Existing,soft tissue upper limb tumor malignant radical excision biopsy
87,SA723S,"SOFT TISSUE (UPPER LIMB), TUMORS (MALIGNANT), WIDE EXCISION BIOPSY",5A,Existing,soft tissue upper limb tumor malignant wide excision biopsy
88,SA724S,"SOFT TISSUE, TUMOR (MALIGNANT), MAJOR RESECTION AND RECONSTRUCTION (MICROSURGICAL)",7C,Existing,soft tissue tumor malignant major resection reconstruction microsurgical
89,SA725S,"SWEAT GLAND, AXILLARY HYPERHIDROSIS, WEDGE EXCISION (BILATERAL)",3A,Existing,sweat gland axillary hyperhidrosis wedge excision bilateral
90,SA726S,"SKIN CANCER, MOHS MICROGRAPHIC SURGERY WITH RECONSTRUCTION/GRAFT/FLAP (</= 5 TISSUE BLOCKS)",2C,Existing,skin cancer mohs micrographic surgery reconstructiongraftflap 5 tissue block
91,SA727S,"SKIN CANCER, MOHS MICROGRAPHIC SURGERY WITH RECONSTRUCTION/GRAFT/FLAP (> 5 TISSUE BLOCKS)",3A,Existing,skin cancer mohs micrographic surgery reconstructiongraftflap 5 tissue block
92,SA728S,"SKIN AND SUBCUTANEOUS TISSUE, TUMOR/CYST/ULCER/SCAR, EXCISION/PUNCH/SHAVE BIOPSY, LESION SIZE UP TO AND INCLUDING 10MM IN DIAMETER",1A,New,skin subcutaneous tissue tumorcystulcerscar excisionpunchshave biopsy lesion size including 10mm diameter
93,SA729S,"SKIN AND SUBCUTANEOUS TISSUE, TUMOR/CYST/ULCER/SCAR, EXCISION/PUNCH/SHAVE BIOPSY, LESION SIZE MORE THAN 10MM AND INCLUDING 20MM",1B,New,skin subcutaneous tissue tumorcystulcerscar excisionpunchshave biopsy lesion size 10mm including 20mm
94,SA730S,"SKIN AND SUBCUTANEOUS TISSUE, TUMOR/CYST/ULCER/SCAR, EXCISION/PUNCH/SHAVE BIOPSY, LESION SIZE MORE THAN 20MM IN DIAMETER",1C,New,skin subcutaneous tissue tumorcystulcerscar excisionpunchshave biopsy lesion size 20mm diameter
95,SA731S,"SKIN AND SUBCUTANEOUS TISSUE, TUMOR/CYST/ULCER/SCAR, REMOVAL OF 3 OR MORE RECURRENT OR COMPLICATED (ADHERENT), TOTAL TISSUE SIZE UP TO 20MM IN DIAMETER, EXCISION",2C,New,skin subcutaneous tissue tumorcystulcerscar removal 3 recurrent complicated adherent total tissue size 20mm diameter excision
96,SA800S,"SKIN AND MUCOUS MEMBRANE, VARIOUS LESIONS, EXCISION BIOPSY",1A,Existing,skin mucous membrane various lesion excision biopsy
97,SA801S,"SKIN AND SUBCUTANEOUS TISSUE, TUMOUR (MALIGNANT), WIDE EXCISION AND RECONSTRUCTION AND LOCAL FLAP/SKIN GRAFT",3A,Existing,skin subcutaneous tissue tumour malignant wide excision reconstruction local flapskin graft
98,SA802S,"SKIN AND SUBCUTANEOUS TISSUE, TUMOUR (MALIGNANT), WIDE EXCISION WITH IMMEDIATE BLOCK DISSECTION",5A,Existing,skin subcutaneous tissue tumour malignant wide excision immediate block dissection
99,SA803S,"SKIN AND SUBCUTANEOUS TISSUE (EAR/NOSE/EYELID/FACE), COMPLEX LACERATIONS, REPAIR",3B,Existing,skin subcutaneous tissue earnoseeyelidface complex laceration repair
100,SA804S,"SKIN & SUBCUTANEOUS, SCAR REVISION, FACE & NECK (< 3CM)",1C,Existing,skin subcutaneous scar revision face neck 3cm
101,SA805S,"SKIN AND SUBCUTANEOUS TISSUE (FACE AND NECK), SCAR OF MORE THAN 3CM, REVISION",2B,Existing,skin subcutaneous tissue face neck scar 3cm revision
102,SA806S,"SKIN AND SUBCUTANEOUS TISSUE, BURNS, ESCHAROTOMY (EXTENSIVE)",2A,Existing,skin subcutaneous tissue burn escharotomy extensive
103,SA807S,"SKIN AND SUBCUTANEOUS TISSUE, BURNS, ESCHAROTOMY (LIMITED)",1A,Existing,skin subcutaneous tissue burn escharotomy limited
104,SA808S,"SKIN AND SUBCUTANEOUS TISSUE, BURNS, EXCISION AND MAJOR FLAP REPAIR",5A,Existing,skin subcutaneous tissue burn excision major flap repair
105,SA809S,"SKIN AND SUBCUTANEOUS TISSUE, BURNS, EXCISION AND MAJOR FULL THICKNESS GRAFT",4A,Existing,skin subcutaneous tissue burn excision major full thickness graft
106,SA810S,"SKIN AND SUBCUTANEOUS TISSUE, BURNS, EXCISION AND SMALL FULL THICKNESS GRAFT",3A,Existing,skin subcutaneous tissue burn excision small full thickness graft
107,SA811S,"SKIN AND SUBCUTANEOUS TISSUE, DEBRIDEMENT WHICH ALSO INCLUDES MUSCLE, TENDON OR BONE (INCLUDES SUTURING OF WOUND WHEN PERFORMED)2",2C,Descriptor change,skin subcutaneous tissue debridement also includes muscle tendon bone includes suturing wound performed2
108,SA812S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT (DEEP), DERMOFAT/FASCIA GRAFT (INCLUDING TRANSPLANT/MUSCLE FLAP)",3A,Existing,skin subcutaneous tissue defect deep dermofatfascia graft including transplantmuscle flap
109,SA813S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT (DEEP), DIRECT FLAP (CROSS ARM/RADIAL FORE ARM/ABDOMINAL/SIMILAR)",5A,Existing,skin subcutaneous tissue defect deep direct flap cross armradial fore armabdominalsimilar
110,SA814S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT (DEEP), DIRECT FLAP REPAIR (CROSS LEG)",5C,Existing,skin subcutaneous tissue defect deep direct flap repair cross leg
111,SA815S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT (DEEP), FREE FLAPS",7C,Existing,skin subcutaneous tissue defect deep free flap
112,SA816S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT (DEEP), FREE GRAFT (SPLIT SKIN GRAFT -  EXTENSIVE/INLAY GRAFT USING A MOULD)",3B,Existing,skin subcutaneous tissue defect deep free graft split skin graft extensiveinlay graft using mould
113,SA817S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT (DEEP), STAGED DISTANT FLAP (DIVISION)",2A,Existing,skin subcutaneous tissue defect deep staged distant flap division
114,SA818S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT (MULTIPLE DIGITS), FREE FULL THICKNESS GRAFT",3B,Existing,skin subcutaneous tissue defect multiple digit free full thickness graft
115,SA819S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT (MULTIPLE DIGITS), STAGED LOCAL FLAP (DIVISION)",2A,Existing,skin subcutaneous tissue defect multiple digit staged local flap division
116,SA820S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT (SINGLE DIGIT), FREE FULL THICKNESS GRAFT",2C,Existing,skin subcutaneous tissue defect single digit free full thickness graft
117,SA821S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT, DIRECT FLAP (CROSS FINGER/SIMILAR FLAPS)",4A,Existing,skin subcutaneous tissue defect direct flap cross fingersimilar flap
118,SA822S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT, FREE GRAFT (SPLIT SKIN GRAFT/PINCH GRAFTS/CULTURED EPITHELIAL AUTOGRAFTS UNDER 1/2%)",1B,Descriptor change,skin subcutaneous tissue defect free graft split skin graftpinch graftscultured epithelial autograft 12
119,SA823S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT, FREE GRAFTS (SPLIT SKIN GRAFT /CULTURED EPITHELIAL AUTOGRAFTS 1/2 TO LESS THAN 2%)",2B,Descriptor change,skin subcutaneous tissue defect free graft split skin graft cultured epithelial autograft 12 le 2
120,SA824S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT, FREE GRAFTS (SPLIT SKIN GRAFT/CULTURED EPITHELIAL AUTOGRAFTS 2 TO LESS THAN 5%)",3A,Descriptor change,skin subcutaneous tissue defect free graft split skin graftcultured epithelial autograft 2 le 5
121,SA825S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT, FREE GRAFTS (SPLIT SKIN GRAFT/CULTURED EPITHELIAL AUTOGRAFTS 5 TO 10%)",4A,Descriptor change,skin subcutaneous tissue defect free graft split skin graftcultured epithelial autograft 5 10
122,SA826S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT, FREE GRAFTS (SPLIT SKIN GRAFT/CULTURED EPITHELIAL AUTOGRAFTS MORE THAN 10%)",5B,Descriptor change,skin subcutaneous tissue defect free graft split skin graftcultured epithelial autograft 10
123,SA827S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT, LOCAL FLAP TO MULTIPLE DIGITS (CROSS FINGER/THENAR/FLAG/ROTATION FLAP)",5A,Existing,skin subcutaneous tissue defect local flap multiple digit cross fingerthenarflagrotation flap
124,SA828S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT, SINGLE STAGE LOCAL FLAP (COMPLICATED/LARGE)",5B,Existing,skin subcutaneous tissue defect single stage local flap complicatedlarge
125,SA829S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT, SINGLE STAGE LOCAL FLAP (SIMPLE/SMALL)",3A,Existing,skin subcutaneous tissue defect single stage local flap simplesmall
126,SA830S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT, STAGED LOCAL FLAP(DIVISION)",1B,Existing,skin subcutaneous tissue defect staged local flapdivision
127,SA831S,"SKIN AND SUBCUTANEOUS TISSUE, FOREIGN BODY (SUBCUTANEOUS), REMOVAL",1C,Existing,skin subcutaneous tissue foreign body subcutaneous removal
128,SA832S,"SKIN AND SUBCUTANEOUS TISSUE, FOREIGN BODY (SUPERFICIAL), REMOVAL",MSP,Existing,skin subcutaneous tissue foreign body superficial removal
129,SA833S,"SKIN AND SUBCUTANEOUS TISSUE, HEMATOMA (SMALL)/FURUNCLE/ABSCESS/SIMILAR LESION, INCISION WITH DRAINAGE",MSP,Existing,skin subcutaneous tissue hematoma smallfuruncleabscesssimilar lesion incision drainage
130,SA834S,"SKIN AND SUBCUTANEOUS TISSUE, HEMATOMA, ASPIRATION",MSP,Existing,skin subcutaneous tissue hematoma aspiration
131,SA835S,"SKIN AND SUBCUTANEOUS TISSUE, ARTERIOVENOUS MALFORMATION/HEMANGIOMA/LYMPHANGIOMA (EXTENSIVE AND COMPLEX), EXCISION",7B,Existing,skin subcutaneous tissue arteriovenous malformationhemangiomalymphangioma extensive complex excision
