S/N,Code,Description,Table,Classification,Cleaned_Description,PCA_X,PCA_Y,Cluster
112,SI825U,"UTERUS, MALIGNANT CONDITION, MODIFIED RADICAL HYSTERECTOMY WITH/WITHOUT LYMPHADENECTOMY",6A,"Uptable, Descriptor change",uterus malignant condition modified radical hysterectomy withwithout lymphadenectomy,-0.0918683222462233,-0.0069291288627654,0
115,SI829U,"UTERUS, MALIGNANT CONDITIONS, TOTAL PELVIC EXENTERATION",7C,Existing,uterus malignant condition total pelvic exenteration,-0.0909406559617256,-0.0276681688718204,0
125,SB806F,"FACE, INTRAOSSEOUS TUMOR (SMALL), EXCISION",3A,Existing,face intraosseous tumor small excision,-0.1156580749779281,0.342192198191185,0
7,SJ701T,"THYROID, VARIOUS LESIONS, IMAGING GUIDED PERCUTANEOUS ASPIRATION/BIOPSY",1B,Existing,thyroid various lesion imaging guided percutaneous aspirationbiopsy,0.2747508855352752,-0.0531327757486943,1
175,SB718H,"HAND, SOFT TISSUE TUMOR, EXCISION >1.5CM SIZE",2C,Existing,hand soft tissue tumor excision 15cm size,-0.1424861268674632,0.3708128547273691,0
181,SK802S,"SKULL, CRANIOSTENOSIS (MULTIPLE SUTURE), OPERATION",6B,Existing,skull craniostenosis multiple suture operation,-0.0919784088380197,-0.0458612878085179,0
272,SF802P,"PALATE, CLEFT, SECONDARY REPAIR (CLOSURE OF FISTULA)",3B,Existing,palate cleft secondary repair closure fistula,-0.105850672981396,-0.0560615442085857,0
36,SI806F,"FALLOPIAN TUBE, PERITUBAL ADHESIONS, SALPINGOLYSIS (MICROSURGERY/MIS)",5C,Existing,fallopian tube peritubal adhesion salpingolysis microsurgerymis,-0.0872007588496483,-0.056001820206756,0
32,SH820P,"PENIS, TUMOR, AMPUTATION (TOTAL)",4A,Existing,penis tumor amputation total,-0.0739778538316885,0.0308453162457197,0
98,SB707F,"FEMUR, NECK OF FEMUR FRACTURE (PAEDIATRIC), PIN FIXATION",4B,Existing,femur neck femur fracture paediatric pin fixation,-0.1130283931539527,-0.094300085927163,0
349,SB807M,"MANDIBLE OR MAXILLA, ODONTOGENIC CYST (11- 20MM), ENUCLEATION",3A,Existing,mandible maxilla odontogenic cyst 11 20mm enucleation,-0.0606712022782368,-0.0455896104320013,0
225,SF714M,"MOUTH, SUBMANDIBULAR GLAND, CALCULUS (DEEP), REMOVAL BIOPSY",3A,Existing,mouth submandibular gland calculus deep removal biopsy,-0.0580805360278006,0.090285974443083,0
40,SB811B,"BONE (LOWER LIMB), TUMOR (MALIGNANT), RADICAL EXCISION (<6CM) WITH RECONSTRUCTION AND BONE GRAFTING",5C,Existing,bone lower limb tumor malignant radical excision 6cm reconstruction bone grafting,-0.1348574589193033,0.2395883105241384,0
100,SA804S,"SKIN & SUBCUTANEOUS, SCAR REVISION, FACE & NECK (< 3CM)",1C,Existing,skin subcutaneous scar revision face neck 3cm,-0.1016199546438854,0.2161022917322239,0
140,SM722S,"SKULL, BASE, RESECTION OF SKULL BASE SOFT TISSUE TUMOURS, (INCLUDING NASOPHARYNGECTOMY) WITH RESECTION OF BONE AND PRESERVATION OF DURA (EXTRADURAL)",6C,Descriptor change,skull base resection skull base soft tissue tumour including nasopharyngectomy resection bone preservation dura extradural,-0.1010299311398186,0.0537052626102009,0
82,SB705E,"ELBOW, FRACTURE/DISLOCATION, OPEN REDUCTION AND INTERNAL FIXATION (ORIF)",3C,Existing,elbow fracturedislocation open reduction internal fixation orif,-0.1342863988695997,-0.1763015591649321,0
155,SB837F,"FINGER, MACRODACTYLY, SURGICAL REDUCTION OF ENLARGED ELEMENTS, SINGLE DIGIT",3A,Existing,finger macrodactyly surgical reduction enlarged element single digit,-0.0980984999619797,-0.0770679427983058,0
112,SL703L,"LENS, CATARACT (PAEDIATRIC), EXTRACTION WITH ANTERIOR VITRECTOMY AND INTRAOCULAR LENS IMPLANTATION",4C,Existing,lens cataract paediatric extraction anterior vitrectomy intraocular lens implantation,-0.073532690132532,-0.0675775054444682,0
53,SD811A,"ARTERY (NECK AND EXTREMITIES), EMBOLISM, EMBOLECTOMY",3A,Existing,artery neck extremity embolism embolectomy,-0.0516137650872457,-0.0247311442333963,0
71,SL815E,"EYE, VARIOUS LESIONS, ENUCLEATION WITHOUT IMPLANT",3A,Existing,eye various lesion enucleation without implant,0.2240935701847635,-0.0729130012358725,1
48,SF827A,"ANUS, ANO-RECTAL PROLAPSE, INJECTION",1A,Existing,anus anorectal prolapse injection,-0.0892948791554892,-0.0567057500472938,0
1,SG700B,"BLADDER, CYSTOSCOPIC INTRADETRUSOR INJECTION OF BOTULINUM",2C,Existing,bladder cystoscopic intradetrusor injection botulinum,-0.0725316835178853,-0.0514606200591726,0
130,SI844U,"UTERUS, PREGNANCY, COMPLICATED CAESAREAN SECTION (SEE FOOTNOTE FOR DEFINITION OF 'COMPLICATED'11)",4B,Existing,uterus pregnancy complicated caesarean section see footnote definition complicated11,-0.0980620909876958,-0.0598770558804163,0
32,SI801F,"FALLOPIAN TUBE, BLOCKED TUBES, CORNUAL REANASTOMOSIS (MICROSURGERY/MIS)",5C,Existing,fallopian tube blocked tube cornual reanastomosis microsurgerymis,-0.0842132608371628,-0.058236735564507,0
174,SF707I,"INTESTINE, SMALL BOWEL, VARIOUS LESIONS, SIMPLE RESECTION WITH ANASTOMOSES, WITH OR WITHOUT STOMA",4A,Descriptor change,intestine small bowel various lesion simple resection anastomosis without stoma,0.1606927042966845,-0.0390227759771537,1
125,SA829S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT, SINGLE STAGE LOCAL FLAP (SIMPLE/SMALL)",3A,Existing,skin subcutaneous tissue defect single stage local flap simplesmall,-0.1374709318712881,0.2946790497016356,0
41,SL710E,"EYELIDS, NON-INVOLUTIONAL ENTROPION/ ECTROPION CORRECTION (UNILATERAL)",3C,Existing,eyelid noninvolutional entropion ectropion correction unilateral,-0.0806182204308599,-0.0472532660457684,0
186,SA891S,"SUBCUTANEOUS TISSUE (BUTTOCKS), OBESITY, LIPOSUCTION",3B,Existing,subcutaneous tissue buttock obesity liposuction,-0.1264444344275255,0.2406668740124267,0
151,SF812E,"ESOPHAGUS, VARIOUS LESIONS, CERVICAL ESOPHAGOSTOMY",3A,Existing,esophagus various lesion cervical esophagostomy,0.3134992235057618,-0.0261974233989091,1
168,SI817V,"VAGINA, STRESS INCONTINENCE, KELLY'S OPERATION +/- ANTERIOR REPAIR.",3C,Existing,vagina stress incontinence kelly operation anterior repair,-0.1057096548310164,-0.0872869418881521,0
29,SK706B,"BRAIN, HYDROCEPHALUS AND OTHER LESIONS, VENTRICULOATRIAL/VENTRICULOPERITONEAL SHUNT, BILATERAL",4C,Existing,brain hydrocephalus lesion ventriculoatrialventriculoperitoneal shunt bilateral,0.0625336736885387,-0.0383420200522671,-1
189,SF707L,"LIVER, TUMOUR, TRANS-ARTERIAL CHEMO- EMBOLIZATION (TACE)",4A,Existing,liver tumour transarterial chemo embolization tace,-0.0732069856688637,-0.0352777572233841,0
312,SB810K,"KNEE, VARIOUS LESIONS, PRIMARY TOTAL JOINT REPLACEMENT (UNILATERAL)",6A,Descriptor change,knee various lesion primary total joint replacement unilateral,0.2342464001974946,-0.0831113860955813,1
216,SF705M,"MOUTH, PERIODONTIUM (WITHIN 1 QUADRANT), SOFT TISSUE DEFECT/DEFORMITY, GINGIVOPLASTY WITH AUTOGENOUS SOFT TISSUE GRAFT",2B,Descriptor change,mouth periodontium within 1 quadrant soft tissue defectdeformity gingivoplasty autogenous soft tissue graft,-0.1098486756316755,0.1621574314622205,0
150,SD833H,"HEART/LUNG, VARIOUS LESIONS, CARDIOPULMONARY PERFUSION",3B,Existing,heartlung various lesion cardiopulmonary perfusion,0.8806186280415719,0.0042694020293453,2
157,SF704G,"GALLBLADDER, VARIOUS LESIONS, CHOLECYSTECTOMY WITH INTRAOPERATIVE CHOLANGIOGRAM",4B,Descriptor change,gallbladder various lesion cholecystectomy intraoperative cholangiogram,0.2892041389975376,-0.0263245921918405,1
101,SF807B,"BILE DUCT, VARIOUS LESIONS, TRANSDUODENAL SPHINCTEROPLASTY/ SPHINCTEROTOMY",5C,Existing,bile duct various lesion transduodenal sphincteroplasty sphincterotomy,0.3455034413029055,-0.0312173200366661,1
119,SF802C,"COLON, VARIOUS LESIONS, COLOSTOMY",4A,Existing,colon various lesion colostomy,0.4402201894394086,-0.0174177926956173,1
115,SD733H,"HEART, SEPTAL DEFECTS (ATRIAL/VENTRICULAR)/PATENT FORAMEN OVALE (PFO) DEFECT CLOSURE",5A,Existing,heart septal defect atrialventricularpatent foramen ovale pfo defect closure,-0.1080180575081185,-0.0170109424051231,0
520,SB834T,"WEDGE RESECTION OF TOE NAIL (SINGLE TOE), MEDIAL AND/OR LATERAL, SIMPLE OR COMPLEX",1C,Existing,wedge resection toe nail single toe medial andor lateral simple complex,-0.0709675380117709,-0.0428557553240677,0
116,SL707L,"LENS, IMPLANTATION OF POSTERIOR SEGMENT DRUG DELIVERY DEVICE",4A,Existing,lens implantation posterior segment drug delivery device,-0.0704639658734468,-0.0705227091245499,0
24,SA810B,"BREAST, INVERTED NIPPLES, SURGICAL EVERSION (BILATERAL)",3A,Existing,breast inverted nipple surgical eversion bilateral,-0.0708625096530358,-0.0329032990954757,0
126,SD806H,"HEART, CONGENITAL HEART DISEASE, OPEN HEART SURGERY",6C,Existing,heart congenital heart disease open heart surgery,-0.105021739504613,-0.1391234252386258,0
208,SF813L,"LIVER, VARIOUS LESIONS, PARTIAL LOBECTOMY/SEGMENTAL RESECTION",5C,Descriptor change,liver various lesion partial lobectomysegmental resection,0.2852583782710955,-0.0159126355819408,1
10,SC801B,"BRONCHUS, VARIOUS LESIONS, BRONCHOPLASTIC PROCEDURE",5C,Existing,bronchus various lesion bronchoplastic procedure,0.484880501105917,-0.0455937752497875,-1
45,SM832E,"EAR, TYMPANIC MEMBRANE, UNILATERAL MYRINGOTOMY WITH TUBE",2A,Existing,ear tympanic membrane unilateral myringotomy tube,-0.0842907234684216,-0.0409386535349785,0
84,SG812K,"KIDNEY, STAGHORN CALCULUS, NEPHROLITHOTOMY OR PERCUTANEOUS NEPHROSTOLITHOTOMY (PCNL)",5C,Existing,kidney staghorn calculus nephrolithotomy percutaneous nephrostolithotomy pcnl,-0.0498736945029162,-0.0747331005005271,0
127,SI841U,"UTERUS, RUPTURED, REPAIR (SIMPLE)",3B,Existing,uterus ruptured repair simple,-0.1361609572115454,-0.099830703532481,0
52,SL721E,"EYELID LOWERING (GOLD WEIGHT IMPLANT), UNILATERAL",3A,Existing,eyelid lowering gold weight implant unilateral,-0.0758784586778782,-0.0444241546910386,0
23,SF800A,"ABDOMINAL CAVITY, ADHESIONS (EXTENSIVE), LYSIS AS PRIMARY PROCEDURE, EXTENSIVE WITH OR WITHOUT BOWEL RESECTION WHERE TIME TAKEN IS MORE THAN 2HOURS",4A,Descriptor change,abdominal cavity adhesion extensive lysis primary procedure extensive without bowel resection time taken 2hours,-0.0643483675404392,-0.0550322953701077,0
112,SB721F,"FOOT, FRACTURES, COMPLEX, MULTIPLE, INCLUDING TALUS AND CALCANEUM, OPEN REDUCTION AND INTERNAL FIXATION",5A,Existing,foot fracture complex multiple including talus calcaneum open reduction internal fixation,-0.1582648295536728,-0.1827089779180221,0
152,SB834F,"FOOT, POLYDACTYLY, EXCISION WITH RECONSTRUCTION",4A,Existing,foot polydactyly excision reconstruction,-0.0956688882080612,0.237049027241401,0
107,SB716F,"FOOT, CONGENITAL TALIPES EQUINOVARUS (CTEV), BILATERAL RELEASE",6A,Existing,foot congenital talipes equinovarus ctev bilateral release,-0.0912166223894152,-0.0465620243613851,0
263,SF708P,"PANCREAS, VARIOUS LESIONS, DISTAL PANCREATECTOMY AND SPLENECTOMY",5B,Descriptor change,pancreas various lesion distal pancreatectomy splenectomy,0.2430542685850402,-0.0359610523855594,1
43,SG700K,"KIDNEY AND URETER, VARIOUS LESIONS, NEPHROURETERECTOMY, MIS",6A,Existing,kidney ureter various lesion nephroureterectomy mi,0.3020689471667858,-0.0511045915785318,1
47,SM834E,"EAR, VARIOUS LESIONS, VARIOUS GRAFT TO FENESTRATION CAVITY",4A,Existing,ear various lesion various graft fenestration cavity,0.4029906206397179,0.0090574955235825,1
136,SM718S,"SINUSES FRONTAL, VARIOUS LESIONS, RADICAL OBLITERATION",5C,Existing,sinus frontal various lesion radical obliteration,0.3447624046118479,0.0228751070706225,-1
156,SK732S,"SPINE, CERVICAL, EPIDURAL ADHESIOLYSIS, SINGLE CATHETER",4B,Existing,spine cervical epidural adhesiolysis single catheter,-0.0688661671860022,-0.0834640187914098,0
11,SH706P,"PROSTATE GLAND, LASER VAPORISATION OF PROSTATE",4A,Existing,prostate gland laser vaporisation prostate,-0.0609158691745499,-0.0172374790554308,0
29,SD728A,"ARTERY, VARIOUS LESIONS, ENDOVASCULAR STENT PLACEMENT",3B,Existing,artery various lesion endovascular stent placement,0.2176330459373558,-0.0519050629201474,1
45,SC719T,"TRACHEA, ENDOTRACHEAL INTUBATION",MSP,Existing,trachea endotracheal intubation,-0.0630334966576783,-0.0424477066243561,0
448,SB747S,"SPINE, REMOVAL OF SPINE IMPLANTS WITHOUT OTHER PROCEDURES (ANTERIOR APPROACH)",4B,Existing,spine removal spine implant without procedure anterior approach,-0.0762527705483122,-0.1216991712725054,0
162,SL800R,"RETINA, DETACHMENT, REMOVAL OF ENCIRCLING SILICONE BAND",2C,Existing,retina detachment removal encircling silicone band,-0.0900175020541132,-0.0412405224943921,0
184,SD727V,"VEIN, VARIOUS LESIONS, RETRIEVAL OF INFERIOR VENA CAVAL FILTER",3A,Existing,vein various lesion retrieval inferior vena caval filter,0.3078349312887908,-0.0519515666794897,1
14,SA800B,"BREAST (NIPPLE), VARIOUS LESIONS, GRAFT AND/OR FLAP RECONSTRUCTION (BILATERAL)",4B,Existing,breast nipple various lesion graft andor flap reconstruction bilateral,0.1974551766197325,0.0158063584409305,1
57,SM704L,"LARYNX AND TRACHEA, VARIOUS LESIONS, MAJOR MICROSURGERY WITHOUT RECONSTRUCTION",5C,Existing,larynx trachea various lesion major microsurgery without reconstruction,0.1991231217580432,-0.0368850525781804,1
315,SB801L,"LOWER LIMB, CRUSH INJURIES (LIMITED), DEBRIDEMENT WITH REPAIR OF BONE AND SOFT TISSUES",5A,Existing,lower limb crush injury limited debridement repair bone soft tissue,-0.1501724110485899,0.0816819401555953,-1
210,SB821H,"HEAD, VARIOUS LESIONS, CRANIOFACIAL RESECTION AND RECONSTRUCTION",7C,Existing,head various lesion craniofacial resection reconstruction,0.2148486128683235,-0.0314169528106433,1
6,SL703B,"BROW, DIRECT BROWPLASTY, BILATERAL",3C,Existing,brow direct browplasty bilateral,-0.0716973466690034,-0.0369418427298673,0
114,SB724F,"FOOT, HAGLUND'S DEFORMITY/ ACHILLES TENDINOPATHY, OSTEOTOMY/ DEBRIDEMENT AND REATTACHMENT",3C,Descriptor change,foot haglunds deformity achilles tendinopathy osteotomy debridement reattachment,-0.1021524475606915,-0.0571487605664726,0
22,SI813C,"CERVIX, VARIOUS LESIONS, PUNCH BIOPSY",1A,Existing,cervix various lesion punch biopsy,0.4151417589827892,0.1288900525195255,-1
71,SG730K,"KIDNEY/URETER, RETROGRADE INTRARENAL SURGERY OR RIRS USING FLEXIBLE URETEROSCOPY (THERAPEUTIC – EG LITHOTRIPSY, AND/OR BASKET EXTRACTION OF STONES >1CM)",4C,New,kidneyureter retrograde intrarenal surgery rirs using flexible ureteroscopy therapeutic eg lithotripsy andor basket extraction stone 1cm,-0.0794795420371603,-0.0515270837660321,0
366,SB824M,"MAXILLA (EXCLUDING ALVEOLAR MARGINS) AND/OR ZYGOMA, VARIOUS LESIONS, COMPLEX OSTECTOMY/OSTEOTOMY",6B,Existing,maxilla excluding alveolar margin andor zygoma various lesion complex ostectomyosteotomy,0.161843157360047,-0.043127017701086,1
243,SF815M,"MOUTH, MACROCHEILIA AND MACROGLOSSIA, RECONSTRUCTION",3A,Existing,mouth macrocheilia macroglossia reconstruction,-0.0766961348779886,0.0014067356508624,0
486,SB800T,"TENDON (PERONEAL), SUBLUXATION, RECONSTRUCTION",4A,Existing,tendon peroneal subluxation reconstruction,-0.0845628712746521,-0.0331792645468943,0
183,SB726H,"HUMERUS, CUBITUS VARUS, CORRECTIVE OSTEOTOMY WITH CAST OR PINNING",4B,Existing,humerus cubitus varus corrective osteotomy cast pinning,-0.0792771712325722,-0.0497634498419672,0
152,SD835H,"HEART-ATRIUM, ARRHYTHMIA, ARRHYTHMIA SURGERY",6B,Existing,heartatrium arrhythmia arrhythmia surgery,-0.0762566875952651,-0.0394250832096717,0
138,SL704O,"ORBIT, VARIOUS LESIONS, ANTERIOR ORBITOTOMY (EXTENSIVE)",4A,Existing,orbit various lesion anterior orbitotomy extensive,0.2551912562006537,-0.0196486384129912,1
152,SF813E,"ESOPHAGUS/INTESTINE/STOMACH, UPPER GI ENDOSCOPY WITH COMPLICATED POLYPECTOMY (E.G. LARGE POLYP REQUIRING MULTIPLE PIECEMEAL RESECTIONS, MULTIPLE POLYPS >2, OR POLYPS WITH COMPLICATIONS SUCH AS BLEEDING) OR ENDOSCOPIC MUCOSAL RESECTION",3A,Existing,esophagusintestinestomach upper gi endoscopy complicated polypectomy eg large polyp requiring multiple piecemeal resection multiple polyp 2 polyp complication bleeding endoscopic mucosal resection,-0.0927303176701041,-0.0313451983468058,0
192,SK700T,"INTERCOSTAL NERVE, BLOCK, ANAESTHETIC (MORE THAN 3 LEVELS)",1C,Existing,intercostal nerve block anaesthetic 3 level,-0.1088738642215046,-0.0949097715168271,0
148,SD829H,"HEART, VARIOUS LESIONS, HEART TRANSPLANTATION",7C,Existing,heart various lesion heart transplantation,0.1899480030513029,-0.0963720420147079,1
64,SB701C,"CLAVICLE, CLAVICLE FRACTURE, COMMINUTED PLATING WITH OR WITHOUT BONE GRAFTING",4A,Existing,clavicle clavicle fracture comminuted plating without bone grafting,-0.0982568198467803,-0.0656180161755408,0
197,SK705T,"INTERCOSTAL NERVE, BLOCK, NEUROLYTIC (MORE THAN 3 LEVELS)",2C,Existing,intercostal nerve block neurolytic 3 level,-0.1060642400107719,-0.0892113020553437,0
212,SF701M,"MOUTH, FRENAL ATTACHMENT, RELEASE",1B,Existing,mouth frenal attachment release,-0.0842250738292827,0.0056358494255633,0
44,SF821A,"ABDOMINAL WALL, STRANGULATED/OBSTRUCTED HERNIA, REPAIR WITH BOWEL RESECTION",4C,Existing,abdominal wall strangulatedobstructed hernia repair bowel resection,-0.0966198439000163,-0.0710846732842272,0
302,SF700S,SACRAL NERVE STIMULATION,4B,Existing,sacral nerve stimulation,-0.0950987142297085,-0.0779254175138251,0
161,SK738S,"SPINE, PERCUTANEOUS IMPLANT OF SPINAL CORD STIMULATOR, (TRIAL), DOUBLE LEADS",3C,Existing,spine percutaneous implant spinal cord stimulator trial double lead,-0.0684332128102721,-0.0737459948244571,0
4,SE703L,"LYMPH NODE (CERVICAL), SUPERFICIAL, VARIOUS LESIONS, BIOPSY",1B,Existing,lymph node cervical superficial various lesion biopsy,0.2622284663526481,0.1083667335021019,-1
9,SA709B,"BREAST, VARIOUS LESIONS, TRUCUT BIOPSY, ULTRASOUND GUIDED OR STEREOTACTIC (MULTIPLE)",1C,Existing,breast various lesion trucut biopsy ultrasound guided stereotactic multiple,0.2601374305581153,0.0685705597089168,-1
117,SB727F,"FOOT, MULTIPLE FOOT OSTEOTOMIES",5C,Existing,foot multiple foot osteotomy,-0.0903432988114237,-0.0410143856545713,0
105,SB714F,"FOREARM, RADIUS/ULNA SHAFT FRACTURE, INTRAMEDULLARY ROD",4B,Existing,forearm radiusulna shaft fracture intramedullary rod,-0.1047620523276139,-0.0956894605421315,0
228,SB839H,"HIP, VARIOUS LESIONS, PRIMARY TOTAL JOINT REPLACEMENT",6A,Descriptor change,hip various lesion primary total joint replacement,0.2579124309017273,-0.0811622999355676,1
106,SA810S,"SKIN AND SUBCUTANEOUS TISSUE, BURNS, EXCISION AND SMALL FULL THICKNESS GRAFT",3A,Existing,skin subcutaneous tissue burn excision small full thickness graft,-0.1244938210570557,0.4356810167865541,3
132,SI700V,"VAGINA, CYSTOCOELE, PARAVAGINAL DEFECT REPAIR (ABDOMINAL) / BURCH COLPOSUSPENSION",4A,Existing,vagina cystocoele paravaginal defect repair abdominal burch colposuspension,-0.1235953993416738,-0.0419481453584136,0
122,SA826S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT, FREE GRAFTS (SPLIT SKIN GRAFT/CULTURED EPITHELIAL AUTOGRAFTS MORE THAN 10%)",5B,Descriptor change,skin subcutaneous tissue defect free graft split skin graftcultured epithelial autograft 10,-0.1230481329516888,0.3322592615556317,0
295,SF803R,"RECTUM, HIRSCHSPRUNG'S DISEASE, RECTO- SIGMOIDECTOMY",5C,Existing,rectum hirschsprung disease recto sigmoidectomy,-0.0769766283418612,-0.0462066535911525,0
87,SD741B,"BLOOD VESSELS, VASCULAR INTERVENTION, RADIOLOGY, INTRAVASCULAR FOREIGN BODY RETRIEVAL",3A,Existing,blood vessel vascular intervention radiology intravascular foreign body retrieval,-0.0782538330435983,-0.0429262471950911,0
88,SF715B,"BOWEL (ESOPHAGUS, STOMACH, DUODENUM, COLON, RECTUM), STRICTURE, IMAGING GUIDED STENT PLACEMENT",2C,Existing,bowel esophagus stomach duodenum colon rectum stricture imaging guided stent placement,-0.0524283033207483,-0.0639384214407736,0
35,SK712B,BRAIN/SPINE ENDOSCOPIC CSF (CEREBROSPINAL FLUID LEAK) LEAK REPAIR,6B,Existing,brainspine endoscopic csf cerebrospinal fluid leak leak repair,-0.1239093401045964,-0.0751545676066424,0
116,SA820S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT (SINGLE DIGIT), FREE FULL THICKNESS GRAFT",2C,Existing,skin subcutaneous tissue defect single digit free full thickness graft,-0.1266803745726565,0.2595507534572866,0
301,SF809R,"RECTUM, VARIOUS LESIONS, TRANSANAL REMOVAL WITH BIOPSY",4A,Existing,rectum various lesion transanal removal biopsy,0.320834020750615,0.0953966194908197,-1
168,SL806R,"RETINAL, DETACHMENT, REMOVAL OF PARTIALLY EXTRUDED PLOMB",MSP,Existing,retinal detachment removal partially extruded plomb,-0.0892396167805242,-0.0376289528164024,0
158,SK734S,"SPINAL/EPIDURAL, EPIDUROSCOPY",2A,Existing,spinalepidural epiduroscopy,-0.068834450330305,-0.0328104208049367,0
16,SH804P,"PENIS, HYPOSPADIAS, MEATOTOMY & HEMICIRCUMCISION",1B,Existing,penis hypospadias meatotomy hemicircumcision,-0.0757718696048323,-0.0489250042713848,0
34,SK711B,"BRAIN, VARIOUS LESIONS, PALLIDOTOMY/THALAMOTOMY/OTHER STEREOTACTIC PROCEDURE - BILATERAL",6A,Existing,brain various lesion pallidotomythalamotomyother stereotactic procedure bilateral,0.2845738375891111,-0.0524322332033434,1
27,SF804A,"ABDOMINAL CAVITY, NEONATAL ALIMENTARY OBSTRUCTION, LAPAROTOMY",5C,Existing,abdominal cavity neonatal alimentary obstruction laparotomy,-0.0708764466323548,-0.0469017861219912,0
164,SF801G,"GALLBLADDER, VARIOUS LESIONS, CHOLECYSTECTOMY (PARTIAL/TOTAL)",4A,"Descriptor
change",gallbladder various lesion cholecystectomy partialtotal,0.2892041389975376,-0.0263245921918405,1
47,SC721T,"TRACHEA, TRACHEOSTOMY, REPLACEMENT",MSP,Existing,trachea tracheostomy replacement,-0.0500216047042438,-0.0571282970872244,0
530,SB802U,"UPPER LIMB, FRACTURE/DISLOCATION, MANIPULATION AND REDUCTION",1B,Existing,upper limb fracturedislocation manipulation reduction,-0.1243070068819122,-0.0599803159991768,0
29,SF806A,"ABDOMINAL CAVITY, RUPTURED VISCUS, SIMPLE REPAIR",3B,Existing,abdominal cavity ruptured viscus simple repair,-0.1018462922374381,-0.0713974600682506,0
31,SG810B,"BLADDER, URACHAL FISTULA, OPEN EXCISION",3B,Existing,bladder urachal fistula open excision,-0.1039607360452759,0.1522408938437835,0
353,SB811M,"MANDIBLE OR MAXILLA, OLD FRACTURES / OSTEOTOMY, REMOVAL OF PLATES OR WIRES",2B,Existing,mandible maxilla old fracture osteotomy removal plate wire,-0.097613133582463,-0.10020649560968,0
88,SA724S,"SOFT TISSUE, TUMOR (MALIGNANT), MAJOR RESECTION AND RECONSTRUCTION (MICROSURGICAL)",7C,Existing,soft tissue tumor malignant major resection reconstruction microsurgical,-0.1233751382710596,0.1788377542928036,0
59,SG717K,"KIDNEY, VARIOUS LESIONS, IMAGING GUIDED PERCUTANEOUS BIOPSY (RENAL PARENCHYMA, NON DIRECTED)",1C,Existing,kidney various lesion imaging guided percutaneous biopsy renal parenchyma non directed,0.2535843019749703,0.0189973776739669,1
