S/N,Code,Description,Table,Classification,Cleaned_Description,X,Y
36,SI806F,"FALLOPIAN TUBE, PERITUBAL ADHESIONS, SALPINGOLYSIS (MICROSURGERY/MIS)",5C,Existing,fallopian tube peritubal adhesion salpingolysis microsurgerymis,0.74783397,15.218262
32,SH820P,"PENIS, TUMOR, AMPUTATION (TOTAL)",4A,Existing,penis tumor amputation total,-2.9635112,9.22428
98,SB707F,"FEMUR, NECK OF FEMUR FRACTURE (PAEDIATRIC), PIN FIXATION",4B,Existing,femur neck femur fracture paediatric pin fixation,2.1015692,10.234089
349,SB807M,"MANDIBLE OR MAXILLA, ODONTOGENIC CYST (11- 20MM), ENUCLEATION",3A,Existing,mandible maxilla odontogenic cyst 11 20mm enucleation,1.7911747,9.475671
225,SF714M,"MOUTH, SUBMANDIBULAR GLAND, CALCULUS (DEEP), REMOVAL BIOPSY",3A,Existing,mouth submandibular gland calculus deep removal biopsy,0.045457,10.30902
40,SB811B,"BONE (LOWER LIMB), TUMOR (MALIGNANT), RADICAL EXCISION (<6CM) WITH RECONSTRUCTION AND BONE GRAFTING",5C,Existing,bone lower limb tumor malignant radical excision 6cm reconstruction bone grafting,3.0310752,10.758392
100,SA804S,"SKIN & SUBCUTANEOUS, SCAR REVISION, FACE & NECK (< 3CM)",1C,Existing,skin subcutaneous scar revision face neck 3cm,0.9230556,11.932945
140,SM722S,"SKULL, BASE, RESECTION OF SKULL BASE SOFT TISSUE TUMOURS, (INCLUDING NASOPHARYNGECTOMY) WITH RESECTION OF BONE AND PRESERVATION OF DURA (EXTRADURAL)",6C,Descriptor change,skull base resection skull base soft tissue tumour including nasopharyngectomy resection bone preservation dura extradural,-0.71557605,12.654088
82,SB705E,"ELBOW, FRACTURE/DISLOCATION, OPEN REDUCTION AND INTERNAL FIXATION (ORIF)",3C,Existing,elbow fracturedislocation open reduction internal fixation orif,1.5598152,5.1433067
155,SB837F,"FINGER, MACRODACTYLY, SURGICAL REDUCTION OF ENLARGED ELEMENTS, SINGLE DIGIT",3A,Existing,finger macrodactyly surgical reduction enlarged element single digit,1.3840576,10.57141
112,SL703L,"LENS, CATARACT (PAEDIATRIC), EXTRACTION WITH ANTERIOR VITRECTOMY AND INTRAOCULAR LENS IMPLANTATION",4C,Existing,lens cataract paediatric extraction anterior vitrectomy intraocular lens implantation,7.590042,6.5414896
53,SD811A,"ARTERY (NECK AND EXTREMITIES), EMBOLISM, EMBOLECTOMY",3A,Existing,artery neck extremity embolism embolectomy,0.3841774,10.114211
71,SL815E,"EYE, VARIOUS LESIONS, ENUCLEATION WITHOUT IMPLANT",3A,Existing,eye various lesion enucleation without implant,0.19192164,10.034658
48,SF827A,"ANUS, ANO-RECTAL PROLAPSE, INJECTION",1A,Existing,anus anorectal prolapse injection,-1.4251152,6.667387
1,SG700B,"BLADDER, CYSTOSCOPIC INTRADETRUSOR INJECTION OF BOTULINUM",2C,Existing,bladder cystoscopic intradetrusor injection botulinum,-1.4896227,8.310133
130,SI844U,"UTERUS, PREGNANCY, COMPLICATED CAESAREAN SECTION (SEE FOOTNOTE FOR DEFINITION OF 'COMPLICATED'11)",4B,Existing,uterus pregnancy complicated caesarean section see footnote definition complicated11,-4.078968,11.820397
32,SI801F,"FALLOPIAN TUBE, BLOCKED TUBES, CORNUAL REANASTOMOSIS (MICROSURGERY/MIS)",5C,Existing,fallopian tube blocked tube cornual reanastomosis microsurgerymis,0.78140116,15.257513
174,SF707I,"INTESTINE, SMALL BOWEL, VARIOUS LESIONS, SIMPLE RESECTION WITH ANASTOMOSES, WITH OR WITHOUT STOMA",4A,Descriptor change,intestine small bowel various lesion simple resection anastomosis without stoma,-0.5234921,7.5195584
125,SA829S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT, SINGLE STAGE LOCAL FLAP (SIMPLE/SMALL)",3A,Existing,skin subcutaneous tissue defect single stage local flap simplesmall,2.4176693,12.345978
41,SL710E,"EYELIDS, NON-INVOLUTIONAL ENTROPION/ ECTROPION CORRECTION (UNILATERAL)",3C,Existing,eyelid noninvolutional entropion ectropion correction unilateral,-2.2121859,12.181289
186,SA891S,"SUBCUTANEOUS TISSUE (BUTTOCKS), OBESITY, LIPOSUCTION",3B,Existing,subcutaneous tissue buttock obesity liposuction,1.2221202,11.627361
151,SF812E,"ESOPHAGUS, VARIOUS LESIONS, CERVICAL ESOPHAGOSTOMY",3A,Existing,esophagus various lesion cervical esophagostomy,-0.16004086,8.023456
168,SI817V,"VAGINA, STRESS INCONTINENCE, KELLY'S OPERATION +/- ANTERIOR REPAIR.",3C,Existing,vagina stress incontinence kelly operation anterior repair,-3.382708,10.312183
29,SK706B,"BRAIN, HYDROCEPHALUS AND OTHER LESIONS, VENTRICULOATRIAL/VENTRICULOPERITONEAL SHUNT, BILATERAL",4C,Existing,brain hydrocephalus lesion ventriculoatrialventriculoperitoneal shunt bilateral,-2.934135,12.363837
189,SF707L,"LIVER, TUMOUR, TRANS-ARTERIAL CHEMO- EMBOLIZATION (TACE)",4A,Existing,liver tumour transarterial chemo embolization tace,0.07307018,9.279499
312,SB810K,"KNEE, VARIOUS LESIONS, PRIMARY TOTAL JOINT REPLACEMENT (UNILATERAL)",6A,Descriptor change,knee various lesion primary total joint replacement unilateral,3.7606285,6.8739376
216,SF705M,"MOUTH, PERIODONTIUM (WITHIN 1 QUADRANT), SOFT TISSUE DEFECT/DEFORMITY, GINGIVOPLASTY WITH AUTOGENOUS SOFT TISSUE GRAFT",2B,Descriptor change,mouth periodontium within 1 quadrant soft tissue defectdeformity gingivoplasty autogenous soft tissue graft,-5.6738744,9.256541
150,SD833H,"HEART/LUNG, VARIOUS LESIONS, CARDIOPULMONARY PERFUSION",3B,Existing,heartlung various lesion cardiopulmonary perfusion,-0.3520773,10.628112
157,SF704G,"GALLBLADDER, VARIOUS LESIONS, CHOLECYSTECTOMY WITH INTRAOPERATIVE CHOLANGIOGRAM",4B,Descriptor change,gallbladder various lesion cholecystectomy intraoperative cholangiogram,-4.248788,7.9193826
101,SF807B,"BILE DUCT, VARIOUS LESIONS, TRANSDUODENAL SPHINCTEROPLASTY/ SPHINCTEROTOMY",5C,Existing,bile duct various lesion transduodenal sphincteroplasty sphincterotomy,-3.8833985,7.5283184
119,SF802C,"COLON, VARIOUS LESIONS, COLOSTOMY",4A,Existing,colon various lesion colostomy,-0.6051439,6.9148088
115,SD733H,"HEART, SEPTAL DEFECTS (ATRIAL/VENTRICULAR)/PATENT FORAMEN OVALE (PFO) DEFECT CLOSURE",5A,Existing,heart septal defect atrialventricularpatent foramen ovale pfo defect closure,0.34655544,6.8314085
520,SB834T,"WEDGE RESECTION OF TOE NAIL (SINGLE TOE), MEDIAL AND/OR LATERAL, SIMPLE OR COMPLEX",1C,Existing,wedge resection toe nail single toe medial andor lateral simple complex,3.2332273,9.038436
116,SL707L,"LENS, IMPLANTATION OF POSTERIOR SEGMENT DRUG DELIVERY DEVICE",4A,Existing,lens implantation posterior segment drug delivery device,-0.73322827,10.158784
24,SA810B,"BREAST, INVERTED NIPPLES, SURGICAL EVERSION (BILATERAL)",3A,Existing,breast inverted nipple surgical eversion bilateral,0.8279887,13.348294
126,SD806H,"HEART, CONGENITAL HEART DISEASE, OPEN HEART SURGERY",6C,Existing,heart congenital heart disease open heart surgery,0.46585715,6.5955505
208,SF813L,"LIVER, VARIOUS LESIONS, PARTIAL LOBECTOMY/SEGMENTAL RESECTION",5C,Descriptor change,liver various lesion partial lobectomysegmental resection,-2.0157576,7.7774725
10,SC801B,"BRONCHUS, VARIOUS LESIONS, BRONCHOPLASTIC PROCEDURE",5C,Existing,bronchus various lesion bronchoplastic procedure,-1.54329,11.143348
45,SM832E,"EAR, TYMPANIC MEMBRANE, UNILATERAL MYRINGOTOMY WITH TUBE",2A,Existing,ear tympanic membrane unilateral myringotomy tube,-1.0162275,11.865635
84,SG812K,"KIDNEY, STAGHORN CALCULUS, NEPHROLITHOTOMY OR PERCUTANEOUS NEPHROSTOLITHOTOMY (PCNL)",5C,Existing,kidney staghorn calculus nephrolithotomy percutaneous nephrostolithotomy pcnl,-1.5111859,9.076674
127,SI841U,"UTERUS, RUPTURED, REPAIR (SIMPLE)",3B,Existing,uterus ruptured repair simple,-4.244454,12.14167
52,SL721E,"EYELID LOWERING (GOLD WEIGHT IMPLANT), UNILATERAL",3A,Existing,eyelid lowering gold weight implant unilateral,-1.4035215,11.383738
23,SF800A,"ABDOMINAL CAVITY, ADHESIONS (EXTENSIVE), LYSIS AS PRIMARY PROCEDURE, EXTENSIVE WITH OR WITHOUT BOWEL RESECTION WHERE TIME TAKEN IS MORE THAN 2HOURS",4A,Descriptor change,abdominal cavity adhesion extensive lysis primary procedure extensive without bowel resection time taken 2hours,0.6916946,9.726349
112,SB721F,"FOOT, FRACTURES, COMPLEX, MULTIPLE, INCLUDING TALUS AND CALCANEUM, OPEN REDUCTION AND INTERNAL FIXATION",5A,Existing,foot fracture complex multiple including talus calcaneum open reduction internal fixation,1.525129,5.1520295
152,SB834F,"FOOT, POLYDACTYLY, EXCISION WITH RECONSTRUCTION",4A,Existing,foot polydactyly excision reconstruction,1.86032,11.314942
107,SB716F,"FOOT, CONGENITAL TALIPES EQUINOVARUS (CTEV), BILATERAL RELEASE",6A,Existing,foot congenital talipes equinovarus ctev bilateral release,1.773104,11.39449
263,SF708P,"PANCREAS, VARIOUS LESIONS, DISTAL PANCREATECTOMY AND SPLENECTOMY",5B,Descriptor change,pancreas various lesion distal pancreatectomy splenectomy,-0.09815469,8.795032
43,SG700K,"KIDNEY AND URETER, VARIOUS LESIONS, NEPHROURETERECTOMY, MIS",6A,Existing,kidney ureter various lesion nephroureterectomy mi,-4.3480115,9.254927
47,SM834E,"EAR, VARIOUS LESIONS, VARIOUS GRAFT TO FENESTRATION CAVITY",4A,Existing,ear various lesion various graft fenestration cavity,-2.983854,6.9737177
136,SM718S,"SINUSES FRONTAL, VARIOUS LESIONS, RADICAL OBLITERATION",5C,Existing,sinus frontal various lesion radical obliteration,4.4090853,12.201212
156,SK732S,"SPINE, CERVICAL, EPIDURAL ADHESIOLYSIS, SINGLE CATHETER",4B,Existing,spine cervical epidural adhesiolysis single catheter,-2.1472578,5.9535027
11,SH706P,"PROSTATE GLAND, LASER VAPORISATION OF PROSTATE",4A,Existing,prostate gland laser vaporisation prostate,1.8590579,14.683476
29,SD728A,"ARTERY, VARIOUS LESIONS, ENDOVASCULAR STENT PLACEMENT",3B,Existing,artery various lesion endovascular stent placement,1.2554487,7.8756347
45,SC719T,"TRACHEA, ENDOTRACHEAL INTUBATION",MSP,Existing,trachea endotracheal intubation,5.357578,9.730175
448,SB747S,"SPINE, REMOVAL OF SPINE IMPLANTS WITHOUT OTHER PROCEDURES (ANTERIOR APPROACH)",4B,Existing,spine removal spine implant without procedure anterior approach,-2.3410933,5.7381725
162,SL800R,"RETINA, DETACHMENT, REMOVAL OF ENCIRCLING SILICONE BAND",2C,Existing,retina detachment removal encircling silicone band,-2.1437445,11.578586
184,SD727V,"VEIN, VARIOUS LESIONS, RETRIEVAL OF INFERIOR VENA CAVAL FILTER",3A,Existing,vein various lesion retrieval inferior vena caval filter,-0.07907317,10.06926
14,SA800B,"BREAST (NIPPLE), VARIOUS LESIONS, GRAFT AND/OR FLAP RECONSTRUCTION (BILATERAL)",4B,Existing,breast nipple various lesion graft andor flap reconstruction bilateral,0.8016286,13.36806
57,SM704L,"LARYNX AND TRACHEA, VARIOUS LESIONS, MAJOR MICROSURGERY WITHOUT RECONSTRUCTION",5C,Existing,larynx trachea various lesion major microsurgery without reconstruction,5.3505344,9.738686
315,SB801L,"LOWER LIMB, CRUSH INJURIES (LIMITED), DEBRIDEMENT WITH REPAIR OF BONE AND SOFT TISSUES",5A,Existing,lower limb crush injury limited debridement repair bone soft tissue,2.8814037,10.874855
210,SB821H,"HEAD, VARIOUS LESIONS, CRANIOFACIAL RESECTION AND RECONSTRUCTION",7C,Existing,head various lesion craniofacial resection reconstruction,0.42191705,10.588481
6,SL703B,"BROW, DIRECT BROWPLASTY, BILATERAL",3C,Existing,brow direct browplasty bilateral,-0.87436354,11.266364
114,SB724F,"FOOT, HAGLUND'S DEFORMITY/ ACHILLES TENDINOPATHY, OSTEOTOMY/ DEBRIDEMENT AND REATTACHMENT",3C,Descriptor change,foot haglunds deformity achilles tendinopathy osteotomy debridement reattachment,2.0838683,11.084591
22,SI813C,"CERVIX, VARIOUS LESIONS, PUNCH BIOPSY",1A,Existing,cervix various lesion punch biopsy,-3.046434,9.953884
71,SG730K,"KIDNEY/URETER, RETROGRADE INTRARENAL SURGERY OR RIRS USING FLEXIBLE URETEROSCOPY (THERAPEUTIC – EG LITHOTRIPSY, AND/OR BASKET EXTRACTION OF STONES >1CM)",4C,New,kidneyureter retrograde intrarenal surgery rirs using flexible ureteroscopy therapeutic eg lithotripsy andor basket extraction stone 1cm,0.030739097,9.703148
366,SB824M,"MAXILLA (EXCLUDING ALVEOLAR MARGINS) AND/OR ZYGOMA, VARIOUS LESIONS, COMPLEX OSTECTOMY/OSTEOTOMY",6B,Existing,maxilla excluding alveolar margin andor zygoma various lesion complex ostectomyosteotomy,1.8892128,9.642275
243,SF815M,"MOUTH, MACROCHEILIA AND MACROGLOSSIA, RECONSTRUCTION",3A,Existing,mouth macrocheilia macroglossia reconstruction,0.42346013,10.577963
486,SB800T,"TENDON (PERONEAL), SUBLUXATION, RECONSTRUCTION",4A,Existing,tendon peroneal subluxation reconstruction,2.2211404,11.154797
183,SB726H,"HUMERUS, CUBITUS VARUS, CORRECTIVE OSTEOTOMY WITH CAST OR PINNING",4B,Existing,humerus cubitus varus corrective osteotomy cast pinning,2.6307676,10.073863
152,SD835H,"HEART-ATRIUM, ARRHYTHMIA, ARRHYTHMIA SURGERY",6B,Existing,heartatrium arrhythmia arrhythmia surgery,0.8592525,6.765927
138,SL704O,"ORBIT, VARIOUS LESIONS, ANTERIOR ORBITOTOMY (EXTENSIVE)",4A,Existing,orbit various lesion anterior orbitotomy extensive,-1.3417561,13.618499
152,SF813E,"ESOPHAGUS/INTESTINE/STOMACH, UPPER GI ENDOSCOPY WITH COMPLICATED POLYPECTOMY (E.G. LARGE POLYP REQUIRING MULTIPLE PIECEMEAL RESECTIONS, MULTIPLE POLYPS >2, OR POLYPS WITH COMPLICATIONS SUCH AS BLEEDING) OR ENDOSCOPIC MUCOSAL RESECTION",3A,Existing,esophagusintestinestomach upper gi endoscopy complicated polypectomy eg large polyp requiring multiple piecemeal resection multiple polyp 2 polyp complication bleeding endoscopic mucosal resection,0.33080313,9.099922
192,SK700T,"INTERCOSTAL NERVE, BLOCK, ANAESTHETIC (MORE THAN 3 LEVELS)",1C,Existing,intercostal nerve block anaesthetic 3 level,2.873811,4.2301235
148,SD829H,"HEART, VARIOUS LESIONS, HEART TRANSPLANTATION",7C,Existing,heart various lesion heart transplantation,0.5097593,6.649911
64,SB701C,"CLAVICLE, CLAVICLE FRACTURE, COMMINUTED PLATING WITH OR WITHOUT BONE GRAFTING",4A,Existing,clavicle clavicle fracture comminuted plating without bone grafting,1.2961686,11.032486
197,SK705T,"INTERCOSTAL NERVE, BLOCK, NEUROLYTIC (MORE THAN 3 LEVELS)",2C,Existing,intercostal nerve block neurolytic 3 level,2.847908,4.150379
212,SF701M,"MOUTH, FRENAL ATTACHMENT, RELEASE",1B,Existing,mouth frenal attachment release,0.350003,10.497321
44,SF821A,"ABDOMINAL WALL, STRANGULATED/OBSTRUCTED HERNIA, REPAIR WITH BOWEL RESECTION",4C,Existing,abdominal wall strangulatedobstructed hernia repair bowel resection,-3.7976577,3.9585369
302,SF700S,SACRAL NERVE STIMULATION,4B,Existing,sacral nerve stimulation,3.1733487,4.329417
161,SK738S,"SPINE, PERCUTANEOUS IMPLANT OF SPINAL CORD STIMULATOR, (TRIAL), DOUBLE LEADS",3C,Existing,spine percutaneous implant spinal cord stimulator trial double lead,-2.1558683,10.209382
4,SE703L,"LYMPH NODE (CERVICAL), SUPERFICIAL, VARIOUS LESIONS, BIOPSY",1B,Existing,lymph node cervical superficial various lesion biopsy,2.753838,14.313152
9,SA709B,"BREAST, VARIOUS LESIONS, TRUCUT BIOPSY, ULTRASOUND GUIDED OR STEREOTACTIC (MULTIPLE)",1C,Existing,breast various lesion trucut biopsy ultrasound guided stereotactic multiple,-0.59406596,10.997256
117,SB727F,"FOOT, MULTIPLE FOOT OSTEOTOMIES",5C,Existing,foot multiple foot osteotomy,1.8731887,11.3194275
105,SB714F,"FOREARM, RADIUS/ULNA SHAFT FRACTURE, INTRAMEDULLARY ROD",4B,Existing,forearm radiusulna shaft fracture intramedullary rod,2.1410792,10.113928
228,SB839H,"HIP, VARIOUS LESIONS, PRIMARY TOTAL JOINT REPLACEMENT",6A,Descriptor change,hip various lesion primary total joint replacement,3.7781808,6.8555107
106,SA810S,"SKIN AND SUBCUTANEOUS TISSUE, BURNS, EXCISION AND SMALL FULL THICKNESS GRAFT",3A,Existing,skin subcutaneous tissue burn excision small full thickness graft,1.5187134,12.503146
132,SI700V,"VAGINA, CYSTOCOELE, PARAVAGINAL DEFECT REPAIR (ABDOMINAL) / BURCH COLPOSUSPENSION",4A,Existing,vagina cystocoele paravaginal defect repair abdominal burch colposuspension,-3.2378058,10.398282
122,SA826S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT, FREE GRAFTS (SPLIT SKIN GRAFT/CULTURED EPITHELIAL AUTOGRAFTS MORE THAN 10%)",5B,Descriptor change,skin subcutaneous tissue defect free graft split skin graftcultured epithelial autograft 10,2.0924363,12.575303
295,SF803R,"RECTUM, HIRSCHSPRUNG'S DISEASE, RECTO- SIGMOIDECTOMY",5C,Existing,rectum hirschsprung disease recto sigmoidectomy,-0.8906551,7.7495775
87,SD741B,"BLOOD VESSELS, VASCULAR INTERVENTION, RADIOLOGY, INTRAVASCULAR FOREIGN BODY RETRIEVAL",3A,Existing,blood vessel vascular intervention radiology intravascular foreign body retrieval,1.0853415,8.6498165
88,SF715B,"BOWEL (ESOPHAGUS, STOMACH, DUODENUM, COLON, RECTUM), STRICTURE, IMAGING GUIDED STENT PLACEMENT",2C,Existing,bowel esophagus stomach duodenum colon rectum stricture imaging guided stent placement,0.48844442,7.8625207
35,SK712B,BRAIN/SPINE ENDOSCOPIC CSF (CEREBROSPINAL FLUID LEAK) LEAK REPAIR,6B,Existing,brainspine endoscopic csf cerebrospinal fluid leak leak repair,-0.7868734,10.591132
116,SA820S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT (SINGLE DIGIT), FREE FULL THICKNESS GRAFT",2C,Existing,skin subcutaneous tissue defect single digit free full thickness graft,1.9772512,12.550473
301,SF809R,"RECTUM, VARIOUS LESIONS, TRANSANAL REMOVAL WITH BIOPSY",4A,Existing,rectum various lesion transanal removal biopsy,-0.8764283,7.8344636
168,SL806R,"RETINAL, DETACHMENT, REMOVAL OF PARTIALLY EXTRUDED PLOMB",MSP,Existing,retinal detachment removal partially extruded plomb,-2.2120996,11.524992
158,SK734S,"SPINAL/EPIDURAL, EPIDUROSCOPY",2A,Existing,spinalepidural epiduroscopy,-0.3709219,10.244491
16,SH804P,"PENIS, HYPOSPADIAS, MEATOTOMY & HEMICIRCUMCISION",1B,Existing,penis hypospadias meatotomy hemicircumcision,-2.9531858,8.827135
34,SK711B,"BRAIN, VARIOUS LESIONS, PALLIDOTOMY/THALAMOTOMY/OTHER STEREOTACTIC PROCEDURE - BILATERAL",6A,Existing,brain various lesion pallidotomythalamotomyother stereotactic procedure bilateral,-2.7957587,12.245608
27,SF804A,"ABDOMINAL CAVITY, NEONATAL ALIMENTARY OBSTRUCTION, LAPAROTOMY",5C,Existing,abdominal cavity neonatal alimentary obstruction laparotomy,-2.9917235,6.8886976
164,SF801G,"GALLBLADDER, VARIOUS LESIONS, CHOLECYSTECTOMY (PARTIAL/TOTAL)",4A,"Descriptor
change",gallbladder various lesion cholecystectomy partialtotal,-4.247991,7.915426
47,SC721T,"TRACHEA, TRACHEOSTOMY, REPLACEMENT",MSP,Existing,trachea tracheostomy replacement,5.340362,9.722606
530,SB802U,"UPPER LIMB, FRACTURE/DISLOCATION, MANIPULATION AND REDUCTION",1B,Existing,upper limb fracturedislocation manipulation reduction,3.2151964,9.472502
29,SF806A,"ABDOMINAL CAVITY, RUPTURED VISCUS, SIMPLE REPAIR",3B,Existing,abdominal cavity ruptured viscus simple repair,-3.0269334,6.8551764
31,SG810B,"BLADDER, URACHAL FISTULA, OPEN EXCISION",3B,Existing,bladder urachal fistula open excision,-1.6291032,8.329009
353,SB811M,"MANDIBLE OR MAXILLA, OLD FRACTURES / OSTEOTOMY, REMOVAL OF PLATES OR WIRES",2B,Existing,mandible maxilla old fracture osteotomy removal plate wire,1.8850567,9.6491
88,SA724S,"SOFT TISSUE, TUMOR (MALIGNANT), MAJOR RESECTION AND RECONSTRUCTION (MICROSURGICAL)",7C,Existing,soft tissue tumor malignant major resection reconstruction microsurgical,0.3049128,10.859753
59,SG717K,"KIDNEY, VARIOUS LESIONS, IMAGING GUIDED PERCUTANEOUS BIOPSY (RENAL PARENCHYMA, NON DIRECTED)",1C,Existing,kidney various lesion imaging guided percutaneous biopsy renal parenchyma non directed,-1.3550274,9.785112
68,SM716L,"LARYNX, VARIOUS LESIONS, DIRECT LARYNGOSCOPE EXAMINATION WITH/WITHOUT BIOPSY",1B,Existing,larynx various lesion direct laryngoscope examination withwithout biopsy,-1.0385122,12.015017
79,SG807K,"KIDNEY, NEPHROPTOSIS, NEPHROPEXY",3B,Existing,kidney nephroptosis nephropexy,-1.7997077,9.250111
27,SG806B,"BLADDER, INCONTINENCE, CORRECTION, ABDOMINAL APPROACH",5A,Existing,bladder incontinence correction abdominal approach,-1.3043315,8.48863
194,SK702T,"INTERCOSTAL NERVE, BLOCK, NEUROLYTIC (UP TO 3 LEVELS)",2A,Existing,intercostal nerve block neurolytic 3 level,2.940525,4.0911717
199,SD813V,"VEIN, VARIOUS LESIONS, LIGATION (INCLUDE REPAIR OF ARTIFICIAL ARTERIO-VENOUS FISTULA)",2A,Existing,vein various lesion ligation include repair artificial arteriovenous fistula,1.5196817,6.457539
344,SB802M,"MANDIBLE OR MAXILLA, ALVEOLAR DEFECT/DEFORMITY, COMPLEX ALVEOLOPLASTY/UNILATERAL (LATERAL WINDOW) SINUS LIFT/RIDGE AUGMENTATION WITH GRAFTING",3A,Existing,mandible maxilla alveolar defectdeformity complex alveoloplastyunilateral lateral window sinus liftridge augmentation grafting,1.8268033,9.738487
123,SG825U,"URETHRA, VARIOUS LESIONS, ANTERIOR URETHROPLASTY",4B,Existing,urethra various lesion anterior urethroplasty,-4.367907,10.442203
61,SL805E,"EYE, GLAUCOMA, SELECTIVE LASER TRABECULOPLASTY (UNILATERAL)",2A,Existing,eye glaucoma selective laser trabeculoplasty unilateral,7.183591,8.100489
295,SB710K,"KNEE, LIGAMENTS/MENISCUS/CARTILAGE/BONE COMBINED, MOSAICPLASTY OR OSTEOARTICULAR TRANSFER SYSTEM (OATS) WITH OSTEOTOMY",6A,Existing,knee ligamentsmeniscuscartilagebone combined mosaicplasty osteoarticular transfer system oat osteotomy,2.6906595,7.6603374
256,SF701P,"PANCREAS, TRANSPLANT (DONATION - CADAVERIC DONOR)",5C,Existing,pancreas transplant donation cadaveric donor,-2.632207,7.771234
107,SM724N,"NOSE, VARIOUS LESIONS, SEPTOPLASTY/SUBMUCOUS RESECTION",3B,Existing,nose various lesion septoplastysubmucous resection,-1.3369838,12.30142
293,SF801R,"RECTUM, HIRSCHSPRUNG'S DISEASE, ANAL SPHINCTEROTOMY",2C,Existing,rectum hirschsprung disease anal sphincterotomy,-0.9187446,7.734751
89,SD702H,"HEART, AUTOMATIC IMPLANTABLE CARDIOVERTER DEFIBRILLATOR (AICD)/PACEMAKER LEAD EXTRACTION",4A,Existing,heart automatic implantable cardioverter defibrillator aicdpacemaker lead extraction,0.7065224,6.4315658
