S/N,Code,Description,Table,Classification
57,SH800T,"TESTIS, TUMOR, RETROPERITONEAL LYMPH NODE
DISSECTION FOLLOWING ORCHIDECTOMY",5C,Existing
58,SH801T,"TESTIS, UNDESCENDED/ECTOPIC (BILATERAL), ORCHIDOPEXY/TRANSPLANTATION WITH HERNIA REPAIR",4A,Existing
59,SH802T,"TESTIS, UNDESCENDED/ECTOPIC (UNILATERAL), ORCHIDOPEXY/TRANSPLANTATION WITH HERNIA REPAIR",3B,Existing
60,SH803T,"TESTIS, UNDESCENDED/ECTOPIC, ORCHIDOPEXY WITH MICROVASCULAR ANASTOMOSIS",5C,Existing
61,SH804T,"SCROTUM, EXPLORATION, DETORSION OF TESTIS AND
BILATERAL TESTES FIXATION",2A,Existing
62,SH805T,"TESTIS, VARIOUS LESIONS, BIOPSY OR ASPIRATION",1C,Existing
63,SH806T,"TESTIS, VARIOUS LESIONS, EXPLORATION/REPAIR",1C,Existing
64,SH807T,"TESTIS, VARIOUS LESIONS, INSERTION OF TESTICULAR PROSTHESIS",3A,Existing
65,SH808T,"TESTIS, VARIOUS LESIONS, ORCHIDECTOMY (SIMPLE)",2B,Existing
66,SH809T,"TESTIS, VARIOUS LESIONS, ORCHIDECTOMY WITH COMPLETE EXCISION OF SPERMATIC CORD",3A,Existing
67,SH810T,"TESTIS, VARIOUS LESIONS, ORCHIDOPLASTY",1C,Existing
68,SH800V,"VAS DEFERENS, VARIOUS LESIONS, EXPLORATION (MICROSURGICAL) AND TESTICULAR BIOPSY",5C,Existing
69,SH801V,"VAS DEFERENS, VARIOUS LESIONS, REANASTOMOSIS (MICROSURGICAL)",4C,Existing
70,SH802V,"VAS DEFERENS, VARIOUS LESIONS, VARICOCELECTOMY (MICROSURGICAL)",3C,Existing
71,SH803V,"VAS DEFERENS, VARIOUS LESIONS, VASECTOMY",1C,Existing
72,SH804V,"VAS DEFERENS, VARIOUS LESIONS, VASOEPIDIDYMOGRAPHY & VASOVESICULOGRAPHY",1B,Existing
73,SH805V,"VAS DEFERENS, VARIOUS LESIONS, VASOEPIDIDYMOSTOMY (MICROSURGICAL)",5C,Existing
