S/N,Code,Description,Table,Classification
67,SI703U,"UTERUS, FETAL SURGERY",3B,Existing
68,SI704U,"UTERUS, FOETOSCOPY",4A,Existing
69,SI705U,"UTERUS, ELONGATED CERVIX, CYSTOCOELE, RECTOCOELE, AMPUTATION OF CERVIX + ANTERIOR REPAIR + POSTERIOR REPAIR",4B,Existing
70,SI706U,"UTERUS, ENDOMETRIAL ABLATION (BALLOON)",2B,Existing
71,SI707U,"UTERUS, ENDOMETRIAL ABLATION (HYSTEROSCOPIC)",2C,Existing
72,SI709U,"UTERUS, FIBROIDS, MYOMECTOMY (SIMPLE, <5CM)9",3C,Existing
73,SI710U,"UTERUS, FIBROIDS, UTERINE ARTERY EMBOLIZATION",3C,Existing
74,SI731U,"UTERUS, HYSTERECTOMY, COMPLICATED (BROAD LIGAMENT , SEVERE ENDOMETRIOSIS, FROZEN PELVIS)",5C,New
75,SI712U,"UTERUS, SUBTOTAL/TOTAL HYSTERECTOMY, >12WKS",5A,Descriptor change
76,SI713U,"UTERUS, SUBTOTAL/TOTAL HYSTERECTOMY, <12WKS",4C,"Uptable, Descriptor change"
77,SI714U,"UTERUS, INTRAUTERINE INSEMINATION",MSP,Existing
78,SI715U,"UTERUS, MIS ABLATION OF ENDOMETRIOSIS (SIMPLE) (AS SINGLE PROCEDURE, NOT INVOLVING RECTUM, URETER)",3C,Existing
79,SI716U,"UTERUS, LYSIS OF ASHERMAN'S (COMPLICATED), HYSTEROSCOPIC",3A,Existing
80,SI717U,"UTERUS, LYSIS OF ASHERMAN'S (SIMPLE), HYSTEROSCOPIC",2C,Existing
81,SI718U,"UTERUS/VAGINA, MIS ASSISTED VAGINAL HYSTERECTOMY (LAVH) WITH/WITHOUT PELVIC FLOOR REPAIR (PFR)",4B,Existing
82,SI719U,"UTERUS, PROLAPSE, CYSTOCOELE, RECTOCOELE, AMPUTATION OF CERVIX + VAGINAL SACROSPINOUS LIGAMENT HYSTEROPEXY + ANTEIOR REPAIR + POSTERIOR REPAIR",4B,Existing
83,SI720U,"UTERUS, PROLAPSE, CYSTOCOELE, RECTOCOELE, TRANSOBTURATOR MESH + TRANSSACROSPINOUS LIGAMENT MESH",4B,Existing
84,SI721U,"UTERUS, PROLAPSE, CYSTOCOELE, RECTOCOELE, VAGINAL HYSTERECTOMY + ANTERIOR REPAIR + BILATERAL SALPINGO-OOPHORECTOMY ± POSTERIOR REPAIR",4B,Existing
85,SI722U,"UTERUS, PROLAPSE, CYSTOCOELE, RECTOCOELE, VAGINAL SACROSPINOUS LIGAMENT HYSTEROPEXY + ANTERIOR REPAIR + POSTERIOR REPAIR",4B,Existing
86,SI723U,"UTERUS, PROLAPSE, VAGINAL HYSTERECTOMY + BILATERAL SALPINGO-OOPHORECTOMY",4B,Existing
87,SI724U,"UTERUS/CERVIX, HYSTEROSCOPIC CANNULATION",2B,Existing
88,SI725U,"UTERUS/CERVIX, HYSTEROSCOPY, DIAGNOSTIC, D&C",2B,Existing
89,SI726U,"UTERUS/VAGINA, MIS RECONSTRUCTION OF FROZEN PELVIS/LATERAL PELVIC WALL DISSECTION; EXTIRPATION OF RECTOVAGINAL ENDOMETRIOSIS",5C,Existing
90,SI727U,"UTERUS, FIBROID/ADENOMYOSIS, HIGHLY INTENSIVE FOCUSED ULTRASOUND",3C,New
91,SI728U,EXCISION OR ABLATION OF ADENOMYOMA/ ADENOMYOSIS (SIMPLE <5CM),4C,New
92,SI729U,EXCISION OR ABLATION OF ADENOMYOMA/ ADENOMYOSIS (COMPLICATED >5CM),5A,New
93,SI730U,UTEROSACRAL LIGAMENT SUSPENSION/HUL,4A,New
94,SI800U,"URETHRA, CARUNCLE/POLYP, EXCISION/LASER VAPORISATION",1C,Existing
95,SI801U,"URETHRA, STENOSIS, DILATATION",1A,Existing
96,SI806U,"UTERUS, CONGENITAL ORGAN ABNORMALITY, PLASTIC REPAIR INCLUDING METROPLASTY",6A,Existing
97,SI807U,"UTERUS, CONTRACEPTION, INTRAUTERINE CONTRACEPTIVE DEVICE INSERTION",MSP,Existing
98,SI809U,"UTERUS, DISPLACED INTRAUTERINE CONTRACEPTIVE DEVICE, REMOVAL UNDER GENERAL ANESTHESIA",2A,Existing
99,SI810U,"UTERUS, DISPLACED INTRAUTERINE CONTRACEPTIVE DEVICE, REMOVAL WITHOUT GENERAL ANAESTHESIA",MSP,Existing
100,SI811U,"UTERUS, ENDOMETRIAL, BIOPSY WITHOUT GENERAL ANAESTHESIA",MSP,Existing
101,SI813U,"UTERUS, FETAL DISORDER, ULTRASOUND GUIDED FETAL BLOOD SAMPLING/CORDOCENTESIS",2C,Existing
102,SI814U,"UTERUS, FETAL DISORDER, ULTRASOUND GUIDED FETAL THERAPY",4A,Existing
103,SI815U,"UTERUS, FIBROIDS, MYOMECTOMY (COMPLICATED E.G. >5CM, MULTIPLE >2, CHALLENGING LOCATION)10",5A,Existing
104,SI817U,"UTERUS, GENETIC ABNORMALITY, ULTRASOUND GUIDED CHORIONIC BIOPSY",1C,Existing
105,SI818U,"UTERUS, GENETIC ABNORMALITY/FETAL MATURITY, WITH/WITHOUT ULTRASOUND GUIDED AMNIOCENTESIS",1C,Existing
106,SI819U,"UTERUS, GRAVID, EVACUATION (COMPLICATED)",2B,Existing
107,SI820U,"UTERUS, GRAVID, EVACUATION (SIMPLE)",2A,Existing
108,SI821U,"UTERUS, GRAVID, HYSTERECTOMY",4A,Existing
109,SI822U,"UTERUS, GRAVID, HYSTEROTOMY",4A,Existing
110,SI823U,"UTERUS, INVERSION, REPOSITIONING",3C,Existing
111,SI824U,"UTERUS, MALIGNANT CONDITION, ANTERIOR PELVIC EXENTERATION",6B,Existing
112,SI825U,"UTERUS, MALIGNANT CONDITION, MODIFIED RADICAL HYSTERECTOMY WITH/WITHOUT LYMPHADENECTOMY",6A,"Uptable, Descriptor change"
113,SI826U,"UTERUS, MALIGNANT CONDITION, POSTERIOR PELVIC EXENTERATION",6B,Existing
114,SI827U,"UTERUS, MALIGNANT CONDITION, TOTAL HYSTERECTOMY, WITH /WITHOUT LYMPH NODE DISSECTION",5A,Descriptor change
115,SI829U,"UTERUS, MALIGNANT CONDITIONS, TOTAL PELVIC EXENTERATION",7C,Existing
116,SI830U,"UTERUS, MALIGNANT CONDITIONS, RADICAL HYSTERECTOMY INCLUDING PELVIC LYMPHADENECTOMY",6B,Descriptor change
117,SI831U,"UTERUS, PERFORATION, REPAIR",3C,Existing
118,SI832U,"UTERUS, PREGNANCY AND MULTIPARITY, UNCOMPLICATED CAESAREAN SECTION AND TUBAL LIGATION",4B,Existing
119,SI833U,"UTERUS, PREGNANCY, COMPLICATED VAGINAL DELIVERY (E.G TWINS, BREECH, INSTRUMENTAL DELIVERY, VBAC)",3A,Descriptor change
120,SI834U,"UTERUS, PREGNANCY, UNCOMPLICATED CAESAREAN SECTION",4A,Existing
121,SI835U,"UTERUS, PREGNANCY, CAESAREAN SECTION WITH HYSTERECTOMY",5C,Existing
122,SI836U,"UTERUS, PREGNANCY, VAGINAL DELIVERY (WITH OR WITHOUT EPISIOTOMY REPAIR)",2B,Existing
123,SI837U,"UTERUS, PROLAPSE, VAGINAL HYSTERECTOMY",4A,Existing
124,SI838U,"UTERUS, RETAINED PLACENTA, MANUAL REMOVAL",1B,Descriptor change
125,SI839U,"UTERUS, RETROVERSION, VENTROSUSPENSION",3A,Existing
126,SI840U,"UTERUS, RUPTURED, REPAIR (COMPLICATED)",4A,Existing
127,SI841U,"UTERUS, RUPTURED, REPAIR (SIMPLE)",3B,Existing
128,SI842U,"UTERUS, VARIOUS LESIONS, CURETTAGE WITH COLPOSCOPY/BIOPSY/DIATHERMY/ CRYOSURGERY/LASER THERAPY OF CERVIX",2C,Existing
129,SI843U,"UTERUS, VARIOUS LESIONS, CURETTAGE WITH/WITHOUT DILATATION",2A,Existing
130,SI844U,"UTERUS, PREGNANCY, COMPLICATED CAESAREAN SECTION (SEE FOOTNOTE FOR DEFINITION OF 'COMPLICATED'11)",4B,Existing
131,SI845U,"UTERUS, PREGNANCY AND MULTIPARITY, COMPLICATED CAESAREAN SECTION AND TUBAL LIGATION (SEE FOOTNOTE FOR DEFINITION OF 'COMPLICATED')",4C,Existing
132,SI700V,"VAGINA, CYSTOCOELE, PARAVAGINAL DEFECT REPAIR (ABDOMINAL) / BURCH COLPOSUSPENSION",4A,Existing
133,SI701V,"VAGINA, CYSTOCOELE, RECTOCOELE, ANTERIOR REPAIR/KELLY'S OPERATION + POSTERIOR REPAIR",3B,Existing
134,SI702V,"VAGINA, CYSTOCOELE, TRANSOBTURATOR MESH",3B,Existing
135,SI703V,"VAGINA, ABDOMINAL SACROCOLPOPEXY + PARAVAGINAL DEFECT REPAIR/BURCH COLPOSUSPENSION + POSTERIOR REPAIR",5C,"Uptable, Descriptor change,"
136,SI704V,"VAGINA, SACROSPINOUS LIGAMENT/ILIOCOCCYGEUS FIXATION + ANTERIOR REPAIR + POSTERIOR REPAIR",4A,Descriptor change
137,SI705V,"VAGINA, INTRA-EPITHELIAL NEOPLASIA COMPLETE/UPPER VAGINECTOMY",4B,Existing
138,SI706V,"VAGINA, INTRA-EPITHELIAL NEOPLASIA VAGINECTOMY (PARTIAL)",3C,Existing
139,SI707V,"VAGINA, MID-URETHRAL TAPE/SLING (± CYSTOSCOPY) + ANTERIOR REPAIR + POSTERIOR REPAIR",5A,"Uptable, Descriptor change"
140,SI710V,"VAGINA, TENSION FREE VAGINAL TAPE (TVT/TVTO)",4A,Existing
141,SI711V,"VAGINA/RECTUM, RECTO VAGINAL FISTULA, COMPLEX RECTAL/TRANSPERINEAL APPROACH WITH COLOSTOMY",5B,Existing
142,SI712V,"VAGINA/RECTUM, RECTO VAGINAL FISTULA, COMPLEX RECTAL/TRANSPERINEAL APPROACH WITHOUT COLOSTOMY",4C,Existing
143,SI713V,VAGINAL HYSTERECTOMY + ANTERIOR REPAIR +/- POSTERIOR REPAIR,5A,Uptable
144,SI714V,"VAGINAL SEPTUM, EXCISION",2A,Existing
145,SI715V,"VULVA, LABIAL ABNORMALITY, HYMENOPLASTY",1B,Existing
146,SI716V,"VULVA, MALIGNANT CONDITION RADICAL WIDE LOCAL EXCISION WITH SKIN FLAP CLOSURE",4B,Descriptor change
147,SI717V,"VULVA, MALIGNANT CONDITION, RADICAL VULVECTOMY + GROIN + PELVIC NODE DISSECTION",6C,Existing
148,SI718V,"VULVA, MALIGNANT CONDITION, RADICAL WIDE EXCISION (E.G. RADICAL WIDE LOCAL EXCISION, RADICAL HEMI-VULVECTOMY) + GROIN DISSECTION",5C,Descriptor change
149,SI719V,"VULVA, MALIGNANT CONDITION, RADICAL WIDE LOCAL EXCISION",3C,Descriptor change
150,SI720V,"VULVA/VAGINA, VARIOUS LESIONS, COLPOSCOPY AND LASER VAPORISATION",1B,Existing
151,SI800V,"VAGINA, ATRESIA, VAGINOPLASTY",4B,Existing
152,SI801V,"VAGINA, ATRESIA/STENOSIS, DILATATION",1B,Existing
153,SI802V,"VAGINA, CYSTOCOELE, ANTERIOR REPAIR/KELLY'S OPERATION",3B,Existing
154,SI803V,"VAGINA, ENTEROCOELE, REPAIR + VAGINAL VAULT SUSPENSION (ABDOMINAL)",5A,"Descriptor
change"
155,SI804V,"VAGINA, FISTULA, REPAIR (COMPLICATED/MULTIPLE)",5A,Existing
156,SI805V,"VAGINA, FISTULA, REPAIR (SIMPLE)",4A,Existing
157,SI806V,"VAGINA, FOREIGN BODY, REMOVAL",1A,Existing
158,SI807V,"VAGINA, INCARCERATED PESSARY, REMOVAL",2B,Existing
159,SI808V,"VAGINA, LACERATIONS (COMPLEX AND INVOLVING ANAL SPHINCTER), REPAIR UNDER REGIONAL OR GENERAL ANAESTHESIA (INCLUDING THOSE SUSTAINED DURING DELIVERY)",2C,Descriptor change
160,SI809V,"VAGINA, LACERATIONS (SIMPLE), DEBRIDEMENT/SUTURE (EXCLUDES EPISIOTOMY)",1C,Existing
161,SI810V,"VAGINA, MALIGNANT CONDITION, VAGINECTOMY",4B,Existing
162,SI811V,"VAGINA, PELVIC ABSCESS, COLPOTOMY AND DRAINAGE",2C,Existing
163,SI812V,"VAGINA, PROLAPSE, COLPORRHAPHY",4A,Existing
164,SI813V,"VAGINA, PROLAPSE, INSERTION OF PESSARY",MSP,Existing
165,SI814V,"VAGINA, PROLAPSE, OBLITERATION (COLPOCLEISIS)",3B,Existing
166,SI815V,"VAGINA, RECTOCOELE, POSTERIOR REPAIR",2C,Existing
167,SI816V,"VAGINA, SIMPLE TUMOR/GARTNER'S CYST, REMOVAL WITH BIOPSY",2B,Existing
168,SI817V,"VAGINA, STRESS INCONTINENCE, KELLY'S OPERATION +/- ANTERIOR REPAIR.",3C,Existing
169,SI818V,"VAGINA, STRESS INCONTINENCE, ABDOMINAL /COMBINED ABDOMINOVAGINAL SLING OPERATIONS ( EG. WATKINS INTERPOSITION, ALDRIDGE SLING AND OTHER PUBOVAGINAL SLING OPERATIONS) +/- CYSTOSCOPY",4B,Existing
170,SI819V,"VAGINA, VARIOUS LESIONS, BIOPSY",1A,Existing
171,SI820V,"VULVA, ABSCESS, INCISION",1B,Existing
172,SI821V,"VULVA, ATRESIA/ABSENCE, DETACHMENT OF SKIN PEDICLE AFTER VAGINOPLASTY",2B,Existing
173,SI822V,"VULVA, BARTHOLIN CYST, EXCISION WITH/WITHOUT USE OF LASER",2B,Existing
174,SI823V,"VULVA, BARTHOLIN CYST, INCISION/MARSUPIALIZATION WITH OR WITHOUT USE OF LASER",1B,Existing
175,SI824V,"VULVA, CHRONIC DYSTROPHY, BIOPSY",MSP,Existing
176,SI825V,"VULVA, HEMATOMA, EVACUATION > 5CM (COMPLICATED/MORE THAN 1)",2A,Existing
177,SI826V,"VULVA, HEMATOMA, EVACUATION <5CM (SIMPLE)",1A,Existing
178,SI827V,"VULVA, IMPERFORATE HYMEN, HYMENECTOMY",1B,Existing
179,SI828V,"VULVA, LABIAL ABNORMALITY, LABIOPLASTY",1B,Existing
180,SI829V,"VULVA, LACERATION, DEBRIDEMENT/SUTURE >5CM (COMPLICATED/ MORE THAN 1)",1C,Existing
181,SI830V,"VULVA, LACERATION, DEBRIDEMENT/SUTURE <5CM (SIMPLE)",MSP,Existing
182,SI831V,"VULVA, MALIGNANT CONDITION, RADICAL VULVECTOMY WITH GROIN DISSECTION AND WITH OR WITHOUT SKIN FLAP CLOSURE",6B,Existing
183,SI832V,"VULVA, MALIGNANT CONDITION, RADICAL VULVECTOMY WITH SKIN FLAP CLOSURE",5A,Descriptor change
184,SI833V,"VULVA, SEBACEOUS CYST/EPITHELIALCYST ETC, EXICISION",MSP,Existing
185,SI834V,"VULVA, TIGHT INTROITUS, FENTON'S OPERATION",1C,Existing
186,SI835V,"VULVA, WARTS, LASER VAPORISATION",1B,Existing
