S/N,Code,Description,Table,Classification,Cleaned_Description,X,Y,Cluster
40,SB811B,"BONE (LOWER LIMB), TUMOR (MALIGNANT), RADICAL EXCISION (<6CM) WITH RECONSTRUCTION AND BONE GRAFTING",5C,Existing,bone lower limb tumor malignant radical excision 6cm reconstruction bone grafting,-31.109404,14.421715,0
100,SA804S,"SKIN & SUBCUTANEOUS, SCAR REVISION, FACE & NECK (< 3CM)",1C,Existing,skin subcutaneous scar revision face neck 3cm,40.74488,0.96884495,0
140,SM722S,"SKULL, BASE, RESECTION OF SKULL BASE SOFT TISSUE TUMOURS, (INCLUDING NASOPHARYNGECTOMY) WITH RESECTION OF BONE AND PRESERVATION OF DURA (EXTRADURAL)",6C,Descriptor change,skull base resection skull base soft tissue tumour including nasopharyngectomy resection bone preservation dura extradural,30.424969,26.869123,0
82,SB705E,"ELBOW, FRACTURE/DISLOCATION, OPEN REDUCTION AND INTERNAL FIXATION (ORIF)",3C,Existing,elbow fracturedislocation open reduction internal fixation orif,28.370575,38.463062,0
155,SB837F,"FINGER, MACRODACTYLY, SURGICAL REDUCTION OF ENLARGED ELEMENTS, SINGLE DIGIT",3A,Existing,finger macrodactyly surgical reduction enlarged element single digit,-37.731144,25.137312,0
112,SL703L,"LENS, CATARACT (PAEDIATRIC), EXTRACTION WITH ANTERIOR VITRECTOMY AND INTRAOCULAR LENS IMPLANTATION",4C,Existing,lens cataract paediatric extraction anterior vitrectomy intraocular lens implantation,43.42191,-43.214447,0
53,SD811A,"ARTERY (NECK AND EXTREMITIES), EMBOLISM, EMBOLECTOMY",3A,Existing,artery neck extremity embolism embolectomy,-10.2328415,21.724905,0
71,SL815E,"EYE, VARIOUS LESIONS, ENUCLEATION WITHOUT IMPLANT",3A,Existing,eye various lesion enucleation without implant,10.608085,-27.79451,0
48,SF827A,"ANUS, ANO-RECTAL PROLAPSE, INJECTION",1A,Existing,anus anorectal prolapse injection,62.798233,20.649403,0
1,SG700B,"BLADDER, CYSTOSCOPIC INTRADETRUSOR INJECTION OF BOTULINUM",2C,Existing,bladder cystoscopic intradetrusor injection botulinum,-15.853593,-4.1307144,0
130,SI844U,"UTERUS, PREGNANCY, COMPLICATED CAESAREAN SECTION (SEE FOOTNOTE FOR DEFINITION OF 'COMPLICATED'11)",4B,Existing,uterus pregnancy complicated caesarean section see footnote definition complicated11,21.744728,-15.968957,0
32,SI801F,"FALLOPIAN TUBE, BLOCKED TUBES, CORNUAL REANASTOMOSIS (MICROSURGERY/MIS)",5C,Existing,fallopian tube blocked tube cornual reanastomosis microsurgerymis,38.72115,-25.47708,0
174,SF707I,"INTESTINE, SMALL BOWEL, VARIOUS LESIONS, SIMPLE RESECTION WITH ANASTOMOSES, WITH OR WITHOUT STOMA",4A,Descriptor change,intestine small bowel various lesion simple resection anastomosis without stoma,13.961089,24.616463,0
125,SA829S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT, SINGLE STAGE LOCAL FLAP (SIMPLE/SMALL)",3A,Existing,skin subcutaneous tissue defect single stage local flap simplesmall,-34.714863,31.532082,0
41,SL710E,"EYELIDS, NON-INVOLUTIONAL ENTROPION/ ECTROPION CORRECTION (UNILATERAL)",3C,Existing,eyelid noninvolutional entropion ectropion correction unilateral,26.522861,-34.169655,0
186,SA891S,"SUBCUTANEOUS TISSUE (BUTTOCKS), OBESITY, LIPOSUCTION",3B,Existing,subcutaneous tissue buttock obesity liposuction,36.05444,6.604189,0
151,SF812E,"ESOPHAGUS, VARIOUS LESIONS, CERVICAL ESOPHAGOSTOMY",3A,Existing,esophagus various lesion cervical esophagostomy,-23.985786,46.80146,0
168,SI817V,"VAGINA, STRESS INCONTINENCE, KELLY'S OPERATION +/- ANTERIOR REPAIR.",3C,Existing,vagina stress incontinence kelly operation anterior repair,-41.1134,51.797066,0
29,SK706B,"BRAIN, HYDROCEPHALUS AND OTHER LESIONS, VENTRICULOATRIAL/VENTRICULOPERITONEAL SHUNT, BILATERAL",4C,Existing,brain hydrocephalus lesion ventriculoatrialventriculoperitoneal shunt bilateral,45.643276,-21.594252,0
189,SF707L,"LIVER, TUMOUR, TRANS-ARTERIAL CHEMO- EMBOLIZATION (TACE)",4A,Existing,liver tumour transarterial chemo embolization tace,38.13799,-12.800458,0
312,SB810K,"KNEE, VARIOUS LESIONS, PRIMARY TOTAL JOINT REPLACEMENT (UNILATERAL)",6A,Descriptor change,knee various lesion primary total joint replacement unilateral,-27.325832,-25.392357,0
216,SF705M,"MOUTH, PERIODONTIUM (WITHIN 1 QUADRANT), SOFT TISSUE DEFECT/DEFORMITY, GINGIVOPLASTY WITH AUTOGENOUS SOFT TISSUE GRAFT",2B,Descriptor change,mouth periodontium within 1 quadrant soft tissue defectdeformity gingivoplasty autogenous soft tissue graft,50.675053,-28.681557,0
150,SD833H,"HEART/LUNG, VARIOUS LESIONS, CARDIOPULMONARY PERFUSION",3B,Existing,heartlung various lesion cardiopulmonary perfusion,-2.367541,1.9207239,0
157,SF704G,"GALLBLADDER, VARIOUS LESIONS, CHOLECYSTECTOMY WITH INTRAOPERATIVE CHOLANGIOGRAM",4B,Descriptor change,gallbladder various lesion cholecystectomy intraoperative cholangiogram,53.16887,-38.224716,0
101,SF807B,"BILE DUCT, VARIOUS LESIONS, TRANSDUODENAL SPHINCTEROPLASTY/ SPHINCTEROTOMY",5C,Existing,bile duct various lesion transduodenal sphincteroplasty sphincterotomy,63.562305,-4.133734,0
119,SF802C,"COLON, VARIOUS LESIONS, COLOSTOMY",4A,Existing,colon various lesion colostomy,5.308646,-38.911488,0
115,SD733H,"HEART, SEPTAL DEFECTS (ATRIAL/VENTRICULAR)/PATENT FORAMEN OVALE (PFO) DEFECT CLOSURE",5A,Existing,heart septal defect atrialventricularpatent foramen ovale pfo defect closure,-57.943142,-3.6994624,0
520,SB834T,"WEDGE RESECTION OF TOE NAIL (SINGLE TOE), MEDIAL AND/OR LATERAL, SIMPLE OR COMPLEX",1C,Existing,wedge resection toe nail single toe medial andor lateral simple complex,-26.360973,-30.558947,0
116,SL707L,"LENS, IMPLANTATION OF POSTERIOR SEGMENT DRUG DELIVERY DEVICE",4A,Existing,lens implantation posterior segment drug delivery device,-34.200756,-13.338265,0
24,SA810B,"BREAST, INVERTED NIPPLES, SURGICAL EVERSION (BILATERAL)",3A,Existing,breast inverted nipple surgical eversion bilateral,1.7327015,-17.090519,0
126,SD806H,"HEART, CONGENITAL HEART DISEASE, OPEN HEART SURGERY",6C,Existing,heart congenital heart disease open heart surgery,-55.42875,-4.397802,0
208,SF813L,"LIVER, VARIOUS LESIONS, PARTIAL LOBECTOMY/SEGMENTAL RESECTION",5C,Descriptor change,liver various lesion partial lobectomysegmental resection,-16.936745,13.950246,0
10,SC801B,"BRONCHUS, VARIOUS LESIONS, BRONCHOPLASTIC PROCEDURE",5C,Existing,bronchus various lesion bronchoplastic procedure,-10.727076,-3.8959937,0
45,SM832E,"EAR, TYMPANIC MEMBRANE, UNILATERAL MYRINGOTOMY WITH TUBE",2A,Existing,ear tympanic membrane unilateral myringotomy tube,64.332115,42.973934,0
84,SG812K,"KIDNEY, STAGHORN CALCULUS, NEPHROLITHOTOMY OR PERCUTANEOUS NEPHROSTOLITHOTOMY (PCNL)",5C,Existing,kidney staghorn calculus nephrolithotomy percutaneous nephrostolithotomy pcnl,-1.1767948,-33.44064,0
127,SI841U,"UTERUS, RUPTURED, REPAIR (SIMPLE)",3B,Existing,uterus ruptured repair simple,9.714352,-4.2791862,0
52,SL721E,"EYELID LOWERING (GOLD WEIGHT IMPLANT), UNILATERAL",3A,Existing,eyelid lowering gold weight implant unilateral,-15.206734,-37.522434,0
23,SF800A,"ABDOMINAL CAVITY, ADHESIONS (EXTENSIVE), LYSIS AS PRIMARY PROCEDURE, EXTENSIVE WITH OR WITHOUT BOWEL RESECTION WHERE TIME TAKEN IS MORE THAN 2HOURS",4A,Descriptor change,abdominal cavity adhesion extensive lysis primary procedure extensive without bowel resection time taken 2hours,-12.756179,32.100582,0
112,SB721F,"FOOT, FRACTURES, COMPLEX, MULTIPLE, INCLUDING TALUS AND CALCANEUM, OPEN REDUCTION AND INTERNAL FIXATION",5A,Existing,foot fracture complex multiple including talus calcaneum open reduction internal fixation,24.182514,40.532207,0
152,SB834F,"FOOT, POLYDACTYLY, EXCISION WITH RECONSTRUCTION",4A,Existing,foot polydactyly excision reconstruction,-63.96421,14.718244,0
107,SB716F,"FOOT, CONGENITAL TALIPES EQUINOVARUS (CTEV), BILATERAL RELEASE",6A,Existing,foot congenital talipes equinovarus ctev bilateral release,-69.76974,-0.13684049,0
263,SF708P,"PANCREAS, VARIOUS LESIONS, DISTAL PANCREATECTOMY AND SPLENECTOMY",5B,Descriptor change,pancreas various lesion distal pancreatectomy splenectomy,1.1198075,-61.306213,0
43,SG700K,"KIDNEY AND URETER, VARIOUS LESIONS, NEPHROURETERECTOMY, MIS",6A,Existing,kidney ureter various lesion nephroureterectomy mi,2.6330369,-26.98233,0
47,SM834E,"EAR, VARIOUS LESIONS, VARIOUS GRAFT TO FENESTRATION CAVITY",4A,Existing,ear various lesion various graft fenestration cavity,-58.735012,27.561243,0
136,SM718S,"SINUSES FRONTAL, VARIOUS LESIONS, RADICAL OBLITERATION",5C,Existing,sinus frontal various lesion radical obliteration,30.881811,-5.161769,0
156,SK732S,"SPINE, CERVICAL, EPIDURAL ADHESIOLYSIS, SINGLE CATHETER",4B,Existing,spine cervical epidural adhesiolysis single catheter,17.726074,-70.81137,0
11,SH706P,"PROSTATE GLAND, LASER VAPORISATION OF PROSTATE",4A,Existing,prostate gland laser vaporisation prostate,11.328825,-56.42637,0
29,SD728A,"ARTERY, VARIOUS LESIONS, ENDOVASCULAR STENT PLACEMENT",3B,Existing,artery various lesion endovascular stent placement,30.640083,-20.55873,0
45,SC719T,"TRACHEA, ENDOTRACHEAL INTUBATION",MSP,Existing,trachea endotracheal intubation,-26.57223,58.955868,0
448,SB747S,"SPINE, REMOVAL OF SPINE IMPLANTS WITHOUT OTHER PROCEDURES (ANTERIOR APPROACH)",4B,Existing,spine removal spine implant without procedure anterior approach,-16.399353,-10.374986,0
162,SL800R,"RETINA, DETACHMENT, REMOVAL OF ENCIRCLING SILICONE BAND",2C,Existing,retina detachment removal encircling silicone band,-24.361965,-73.42456,0
184,SD727V,"VEIN, VARIOUS LESIONS, RETRIEVAL OF INFERIOR VENA CAVAL FILTER",3A,Existing,vein various lesion retrieval inferior vena caval filter,23.54227,-11.016967,0
14,SA800B,"BREAST (NIPPLE), VARIOUS LESIONS, GRAFT AND/OR FLAP RECONSTRUCTION (BILATERAL)",4B,Existing,breast nipple various lesion graft andor flap reconstruction bilateral,-47.68866,-21.40169,0
57,SM704L,"LARYNX AND TRACHEA, VARIOUS LESIONS, MAJOR MICROSURGERY WITHOUT RECONSTRUCTION",5C,Existing,larynx trachea various lesion major microsurgery without reconstruction,-27.101046,56.490257,0
315,SB801L,"LOWER LIMB, CRUSH INJURIES (LIMITED), DEBRIDEMENT WITH REPAIR OF BONE AND SOFT TISSUES",5A,Existing,lower limb crush injury limited debridement repair bone soft tissue,6.4732804,-69.869514,0
210,SB821H,"HEAD, VARIOUS LESIONS, CRANIOFACIAL RESECTION AND RECONSTRUCTION",7C,Existing,head various lesion craniofacial resection reconstruction,39.074997,27.388214,0
6,SL703B,"BROW, DIRECT BROWPLASTY, BILATERAL",3C,Existing,brow direct browplasty bilateral,-20.359983,-9.794539,0
114,SB724F,"FOOT, HAGLUND'S DEFORMITY/ ACHILLES TENDINOPATHY, OSTEOTOMY/ DEBRIDEMENT AND REATTACHMENT",3C,Descriptor change,foot haglunds deformity achilles tendinopathy osteotomy debridement reattachment,-63.587418,12.750707,0
22,SI813C,"CERVIX, VARIOUS LESIONS, PUNCH BIOPSY",1A,Existing,cervix various lesion punch biopsy,5.0016265,-21.124668,0
71,SG730K,"KIDNEY/URETER, RETROGRADE INTRARENAL SURGERY OR RIRS USING FLEXIBLE URETEROSCOPY (THERAPEUTIC – EG LITHOTRIPSY, AND/OR BASKET EXTRACTION OF STONES >1CM)",4C,New,kidneyureter retrograde intrarenal surgery rirs using flexible ureteroscopy therapeutic eg lithotripsy andor basket extraction stone 1cm,-30.379251,-39.31617,0
366,SB824M,"MAXILLA (EXCLUDING ALVEOLAR MARGINS) AND/OR ZYGOMA, VARIOUS LESIONS, COMPLEX OSTECTOMY/OSTEOTOMY",6B,Existing,maxilla excluding alveolar margin andor zygoma various lesion complex ostectomyosteotomy,-33.005756,-55.0267,0
243,SF815M,"MOUTH, MACROCHEILIA AND MACROGLOSSIA, RECONSTRUCTION",3A,Existing,mouth macrocheilia macroglossia reconstruction,-3.8256412,7.4157767,0
486,SB800T,"TENDON (PERONEAL), SUBLUXATION, RECONSTRUCTION",4A,Existing,tendon peroneal subluxation reconstruction,-46.220356,16.733446,0
183,SB726H,"HUMERUS, CUBITUS VARUS, CORRECTIVE OSTEOTOMY WITH CAST OR PINNING",4B,Existing,humerus cubitus varus corrective osteotomy cast pinning,-9.9846115,55.941902,0
152,SD835H,"HEART-ATRIUM, ARRHYTHMIA, ARRHYTHMIA SURGERY",6B,Existing,heartatrium arrhythmia arrhythmia surgery,5.4972224,-7.4676075,0
138,SL704O,"ORBIT, VARIOUS LESIONS, ANTERIOR ORBITOTOMY (EXTENSIVE)",4A,Existing,orbit various lesion anterior orbitotomy extensive,-14.213259,30.839136,0
152,SF813E,"ESOPHAGUS/INTESTINE/STOMACH, UPPER GI ENDOSCOPY WITH COMPLICATED POLYPECTOMY (E.G. LARGE POLYP REQUIRING MULTIPLE PIECEMEAL RESECTIONS, MULTIPLE POLYPS >2, OR POLYPS WITH COMPLICATIONS SUCH AS BLEEDING) OR ENDOSCOPIC MUCOSAL RESECTION",3A,Existing,esophagusintestinestomach upper gi endoscopy complicated polypectomy eg large polyp requiring multiple piecemeal resection multiple polyp 2 polyp complication bleeding endoscopic mucosal resection,7.5835695,-24.159199,0
192,SK700T,"INTERCOSTAL NERVE, BLOCK, ANAESTHETIC (MORE THAN 3 LEVELS)",1C,Existing,intercostal nerve block anaesthetic 3 level,39.54659,38.31678,0
148,SD829H,"HEART, VARIOUS LESIONS, HEART TRANSPLANTATION",7C,Existing,heart various lesion heart transplantation,13.032418,-15.418487,0
64,SB701C,"CLAVICLE, CLAVICLE FRACTURE, COMMINUTED PLATING WITH OR WITHOUT BONE GRAFTING",4A,Existing,clavicle clavicle fracture comminuted plating without bone grafting,-11.341882,-77.46795,0
197,SK705T,"INTERCOSTAL NERVE, BLOCK, NEUROLYTIC (MORE THAN 3 LEVELS)",2C,Existing,intercostal nerve block neurolytic 3 level,42.84579,37.050625,0
212,SF701M,"MOUTH, FRENAL ATTACHMENT, RELEASE",1B,Existing,mouth frenal attachment release,-4.80929,7.9179125,0
44,SF821A,"ABDOMINAL WALL, STRANGULATED/OBSTRUCTED HERNIA, REPAIR WITH BOWEL RESECTION",4C,Existing,abdominal wall strangulatedobstructed hernia repair bowel resection,43.346527,10.801611,0
302,SF700S,SACRAL NERVE STIMULATION,4B,Existing,sacral nerve stimulation,1.9752572,3.7236094,0
161,SK738S,"SPINE, PERCUTANEOUS IMPLANT OF SPINAL CORD STIMULATOR, (TRIAL), DOUBLE LEADS",3C,Existing,spine percutaneous implant spinal cord stimulator trial double lead,-69.59833,-22.530762,0
4,SE703L,"LYMPH NODE (CERVICAL), SUPERFICIAL, VARIOUS LESIONS, BIOPSY",1B,Existing,lymph node cervical superficial various lesion biopsy,-34.000107,-46.054905,0
9,SA709B,"BREAST, VARIOUS LESIONS, TRUCUT BIOPSY, ULTRASOUND GUIDED OR STEREOTACTIC (MULTIPLE)",1C,Existing,breast various lesion trucut biopsy ultrasound guided stereotactic multiple,6.182185,21.879026,0
117,SB727F,"FOOT, MULTIPLE FOOT OSTEOTOMIES",5C,Existing,foot multiple foot osteotomy,-63.919163,13.805697,0
105,SB714F,"FOREARM, RADIUS/ULNA SHAFT FRACTURE, INTRAMEDULLARY ROD",4B,Existing,forearm radiusulna shaft fracture intramedullary rod,13.653881,-36.34553,0
228,SB839H,"HIP, VARIOUS LESIONS, PRIMARY TOTAL JOINT REPLACEMENT",6A,Descriptor change,hip various lesion primary total joint replacement,-27.960241,-25.51433,0
106,SA810S,"SKIN AND SUBCUTANEOUS TISSUE, BURNS, EXCISION AND SMALL FULL THICKNESS GRAFT",3A,Existing,skin subcutaneous tissue burn excision small full thickness graft,49.73917,49.449455,0
132,SI700V,"VAGINA, CYSTOCOELE, PARAVAGINAL DEFECT REPAIR (ABDOMINAL) / BURCH COLPOSUSPENSION",4A,Existing,vagina cystocoele paravaginal defect repair abdominal burch colposuspension,-8.026294,-19.128883,0
122,SA826S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT, FREE GRAFTS (SPLIT SKIN GRAFT/CULTURED EPITHELIAL AUTOGRAFTS MORE THAN 10%)",5B,Descriptor change,skin subcutaneous tissue defect free graft split skin graftcultured epithelial autograft 10,-52.281006,-50.245155,0
295,SF803R,"RECTUM, HIRSCHSPRUNG'S DISEASE, RECTO- SIGMOIDECTOMY",5C,Existing,rectum hirschsprung disease recto sigmoidectomy,-52.14144,-7.6188197,0
87,SD741B,"BLOOD VESSELS, VASCULAR INTERVENTION, RADIOLOGY, INTRAVASCULAR FOREIGN BODY RETRIEVAL",3A,Existing,blood vessel vascular intervention radiology intravascular foreign body retrieval,-6.467538,-33.588284,0
88,SF715B,"BOWEL (ESOPHAGUS, STOMACH, DUODENUM, COLON, RECTUM), STRICTURE, IMAGING GUIDED STENT PLACEMENT",2C,Existing,bowel esophagus stomach duodenum colon rectum stricture imaging guided stent placement,17.867437,34.532604,0
35,SK712B,BRAIN/SPINE ENDOSCOPIC CSF (CEREBROSPINAL FLUID LEAK) LEAK REPAIR,6B,Existing,brainspine endoscopic csf cerebrospinal fluid leak leak repair,-8.621698,8.688258,0
116,SA820S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT (SINGLE DIGIT), FREE FULL THICKNESS GRAFT",2C,Existing,skin subcutaneous tissue defect single digit free full thickness graft,51.439655,47.849808,0
301,SF809R,"RECTUM, VARIOUS LESIONS, TRANSANAL REMOVAL WITH BIOPSY",4A,Existing,rectum various lesion transanal removal biopsy,-18.039602,23.550564,0
168,SL806R,"RETINAL, DETACHMENT, REMOVAL OF PARTIALLY EXTRUDED PLOMB",MSP,Existing,retinal detachment removal partially extruded plomb,-24.475351,-74.373276,0
158,SK734S,"SPINAL/EPIDURAL, EPIDUROSCOPY",2A,Existing,spinalepidural epiduroscopy,-4.3631296,3.3928883,0
16,SH804P,"PENIS, HYPOSPADIAS, MEATOTOMY & HEMICIRCUMCISION",1B,Existing,penis hypospadias meatotomy hemicircumcision,-19.405544,-1.8507208,0
34,SK711B,"BRAIN, VARIOUS LESIONS, PALLIDOTOMY/THALAMOTOMY/OTHER STEREOTACTIC PROCEDURE - BILATERAL",6A,Existing,brain various lesion pallidotomythalamotomyother stereotactic procedure bilateral,-9.680375,-5.1252527,0
27,SF804A,"ABDOMINAL CAVITY, NEONATAL ALIMENTARY OBSTRUCTION, LAPAROTOMY",5C,Existing,abdominal cavity neonatal alimentary obstruction laparotomy,-41.943913,-6.508172,0
164,SF801G,"GALLBLADDER, VARIOUS LESIONS, CHOLECYSTECTOMY (PARTIAL/TOTAL)",4A,"Descriptor
change",gallbladder various lesion cholecystectomy partialtotal,53.16887,-38.224716,0
47,SC721T,"TRACHEA, TRACHEOSTOMY, REPLACEMENT",MSP,Existing,trachea tracheostomy replacement,-26.65365,60.05786,0
530,SB802U,"UPPER LIMB, FRACTURE/DISLOCATION, MANIPULATION AND REDUCTION",1B,Existing,upper limb fracturedislocation manipulation reduction,9.015756,-33.07021,0
29,SF806A,"ABDOMINAL CAVITY, RUPTURED VISCUS, SIMPLE REPAIR",3B,Existing,abdominal cavity ruptured viscus simple repair,-60.575474,27.518726,0
31,SG810B,"BLADDER, URACHAL FISTULA, OPEN EXCISION",3B,Existing,bladder urachal fistula open excision,-12.196964,13.912094,0
353,SB811M,"MANDIBLE OR MAXILLA, OLD FRACTURES / OSTEOTOMY, REMOVAL OF PLATES OR WIRES",2B,Existing,mandible maxilla old fracture osteotomy removal plate wire,-4.550951,-18.289806,0
88,SA724S,"SOFT TISSUE, TUMOR (MALIGNANT), MAJOR RESECTION AND RECONSTRUCTION (MICROSURGICAL)",7C,Existing,soft tissue tumor malignant major resection reconstruction microsurgical,-33.77337,17.252626,0
59,SG717K,"KIDNEY, VARIOUS LESIONS, IMAGING GUIDED PERCUTANEOUS BIOPSY (RENAL PARENCHYMA, NON DIRECTED)",1C,Existing,kidney various lesion imaging guided percutaneous biopsy renal parenchyma non directed,-0.43229488,31.842949,0
68,SM716L,"LARYNX, VARIOUS LESIONS, DIRECT LARYNGOSCOPE EXAMINATION WITH/WITHOUT BIOPSY",1B,Existing,larynx various lesion direct laryngoscope examination withwithout biopsy,26.9474,-16.958742,0
79,SG807K,"KIDNEY, NEPHROPTOSIS, NEPHROPEXY",3B,Existing,kidney nephroptosis nephropexy,3.9322383,6.1097026,0
27,SG806B,"BLADDER, INCONTINENCE, CORRECTION, ABDOMINAL APPROACH",5A,Existing,bladder incontinence correction abdominal approach,-43.48813,52.46208,0
194,SK702T,"INTERCOSTAL NERVE, BLOCK, NEUROLYTIC (UP TO 3 LEVELS)",2A,Existing,intercostal nerve block neurolytic 3 level,42.84579,37.050625,0
199,SD813V,"VEIN, VARIOUS LESIONS, LIGATION (INCLUDE REPAIR OF ARTIFICIAL ARTERIO-VENOUS FISTULA)",2A,Existing,vein various lesion ligation include repair artificial arteriovenous fistula,26.485413,59.60611,0
344,SB802M,"MANDIBLE OR MAXILLA, ALVEOLAR DEFECT/DEFORMITY, COMPLEX ALVEOLOPLASTY/UNILATERAL (LATERAL WINDOW) SINUS LIFT/RIDGE AUGMENTATION WITH GRAFTING",3A,Existing,mandible maxilla alveolar defectdeformity complex alveoloplastyunilateral lateral window sinus liftridge augmentation grafting,13.81429,-9.988131,0
123,SG825U,"URETHRA, VARIOUS LESIONS, ANTERIOR URETHROPLASTY",4B,Existing,urethra various lesion anterior urethroplasty,-14.570021,6.0686493,0
61,SL805E,"EYE, GLAUCOMA, SELECTIVE LASER TRABECULOPLASTY (UNILATERAL)",2A,Existing,eye glaucoma selective laser trabeculoplasty unilateral,57.967102,32.46216,0
295,SB710K,"KNEE, LIGAMENTS/MENISCUS/CARTILAGE/BONE COMBINED, MOSAICPLASTY OR OSTEOARTICULAR TRANSFER SYSTEM (OATS) WITH OSTEOTOMY",6A,Existing,knee ligamentsmeniscuscartilagebone combined mosaicplasty osteoarticular transfer system oat osteotomy,68.99605,-27.02646,0
256,SF701P,"PANCREAS, TRANSPLANT (DONATION - CADAVERIC DONOR)",5C,Existing,pancreas transplant donation cadaveric donor,72.43091,31.503088,-1
