S/N,Code,Description,Table,Classification
95,SM712N,,1B,Existing
96,SM713N,,1B,Existing
97,SM714N,,2C,Existing
98,SM715N,,1A,Existing
99,SM716N,,4A,Existing
100,SM717N,,MSP,Existing
101,SM718N,,3B,Existing
102,SM719N,,4C,Existing
103,SM720N,,4C,Existing
104,SM721N,,5A,Existing
105,SM722N,,5A,Existing
106,SM723N,,5C,Existing
107,SM724N,,3B,Existing
108,SM725N,,1B,New
109,SM726N,,MSP,New
110,SM800N,,3C,New
111,SM700P,,1B,Existing
112,SM701P,,2C,Existing
113,SM702P,,4A,Existing
114,SM703P,,7B,Existing
115,SM704P,,4B,Existing
116,SM705P,,4B,Existing
117,SM706P,,7B,Existing
118,SM707P,,3B,Existing
119,SM700S,,7C,Existing
18  This code is to be utilised for repeat examinations within 90 days of using SM700N.,,,,
120,SM702S,,3C,Existing
121,SM703S,,5A,Existing
122,SM724S,,1B,New
123,SM705S,,5C,Existing
124,SM706S,,2B,Existing
125,SM707S,,2B,Existing
126,SM708S,,3B,Existing
127,SM709S,,4A,Existing
128,SM710S,,3A,Existing
129,SM711S,,1B,Descriptor change
130,SM712S,,3A,Existing
131,SM713S,,5C,Existing
132,SM714S,,5C,Existing
133,SM715S,,3B,Existing
134,SM716S,,5C,Existing
135,SM717S,,1A,Existing
136,SM718S,,5C,Existing
137,SM719S,,2B,Existing
138,SM720S,,MSP,Existing
139,SM721S,,5C,Descriptor change
140,SM722S,,6C,Descriptor change
141,SM723S,,7C,Descriptor change
142,SM700T,,3B,Existing
143,SM701T,,4B,Descriptor change
144,SM702T,,3B,Existing
19  Single claim allowed per episode of procedure(s).,,,,
145,SM703T,,1A,Existing
146,SM704T,,1B,Existing
147,SM705T,,3B,Existing
148,SM706T,,2B,Existing
149,SM707T,,3A,Existing
"GUIDELINES ON MEDISAVE AND MEDISHIELD LIFE CLAIMS FOR SURGICAL PROCEDURES
[Also Annex A-5 of the MediSave Manual]
1.        MediSave and MediShield Life claims should be based on the existing descriptors and classifications in the Table of Surgical Procedures (TOSP) circulated by the Ministry of Health (MOH).  Doctors/dentists should not arbitrarily vary the tables based on their own assessment of the TOSP codes.
2.        The TOSP code used should be one that best described the surgery/procedure performed. Only one TOSP code should be used if the single TOSP code adequately describes the episode of surgery/procedure carried out.
3.        In general, if there is no appropriate TOSP table for an operation, no Medisave claim may be made.    Financial counselling of patients should also be based on the prevailing TOSP  and  its  corresponding  MediSave  withdrawal  limits.  Financial  counselling  based  on future anticipated changes to the TOSP is not allowed.
4.        For new procedures that are not coded in the TOSP, medical practitioners may submit their proposals via their public acute hospital or national specialty centre (for public sector practitioners), or their College/Chapter in the Academy of Medicine Singapore (for private sector practitioners) for MOH’s TOSP Review Committee’s assessment (tosp@moh.gov.sg). Should these procedures subsequently be incorporated into the TOSP, MediSave use will be allowed.
5.        Need for Histopathology. All TOSP claims where appropriate must be supported by histopathology, in the absence of which the claim can be rejected by MediSave audit. In rare instances e.g. removal of cataracts, blepharoplasty, laser vaporization of the vagina etc., it is not practicable to send for histopathology and thus claims will be allowed.
6.        Separate  Operations.  Operations  carried  out  on  the  same  patient  at  different admissions and for different conditions may be claimed as separate operations. Patients for whom  the  diagnostic  laparoscopy  is  done  as  a  separate  operation  from  the  reversal  of sterilization  on  two  separate  admissions  may  be  allowed  to  make  separate  MediSave withdrawals for the two operations.
7.        Surgical removal / excision biopsy of benign breast lumps (regardless of whether a flap closure is performed) should be coded as SA812B (for single lump), which is at Table 2C, or SA813B (for multiple/bilateral lumps), which is at Table 3A. The exception is when a surgeon excises a benign breast lump (>4cm) (e.g. as in phylloides tumour) and chooses flap closure. In  this  case,  only  SA705B,  i.e.  “breast  lump  more  than  4  cm  (removal)  with parenchymal  flap  closure  (unilateral/bilateral)”,  which  is  at  Table  4A,  should  be  used;  a
separate claim for the excision of that lump/s cannot be made.",,,,
,,,,
