S/N,Code,Description,Table,Classification
56,SH702T,"TESTIS, VARIOCOELE, SPERMATIC VEIN EMBOLISATION",,Existing
57,SH800T,"TESTIS, TUMOR, RETROPERITONEAL LYMPH NODE
DISSECTION FOLLOWING ORCHIDECTOMY",,Existing
58,SH801T,"TESTIS, UNDESCENDED/ECTOPIC (BILATERAL), ORCHIDOPEXY/TRANSPLANTATION WITH HERNIA REPAIR",,Existing
59,SH802T,"TESTIS, UNDESCENDED/ECTOPIC (UNILATERAL), ORCHIDOPEXY/TRANSPLANTATION WITH HERNIA REPAIR",,Existing
60,SH803T,"TESTIS, UNDESCENDED/ECTOPIC, ORCHIDOPEXY WITH MICROVASCULAR ANASTOMOSIS",,Existing
61,SH804T,"SCROTUM, EXPLORATION, DETORSION OF TESTIS AND
BILATERAL TESTES FIXATION",,Existing
62,SH805T,"TESTIS, VARIOUS LESIONS, BIOPSY OR ASPIRATION",,Existing
63,SH806T,"TESTIS, VARIOUS LESIONS, EXPLORATION/REPAIR",,Existing
64,SH807T,"TESTIS, VARIOUS LESIONS, INSERTION OF TESTICULAR PROSTHESIS",,Existing
65,SH808T,"TESTIS, VARIOUS LESIONS, ORCHIDECTOMY (SIMPLE)",,Existing
66,SH809T,"TESTIS, VARIOUS LESIONS, ORCHIDECTOMY WITH COMPLETE EXCISION OF SPERMATIC CORD",,Existing
67,SH810T,"TESTIS, VARIOUS LESIONS, ORCHIDOPLASTY",,Existing
68,SH800V,"VAS DEFERENS, VARIOUS LESIONS, EXPLORATION (MICROSURGICAL) AND TESTICULAR BIOPSY",,Existing
69,SH801V,"VAS DEFERENS, VARIOUS LESIONS, REANASTOMOSIS (MICROSURGICAL)",,Existing
70,SH802V,"VAS DEFERENS, VARIOUS LESIONS, VARICOCELECTOMY (MICROSURGICAL)",,Existing
71,SH803V,"VAS DEFERENS, VARIOUS LESIONS, VASECTOMY",,Existing
72,SH804V,"VAS DEFERENS, VARIOUS LESIONS, VASOEPIDIDYMOGRAPHY & VASOVESICULOGRAPHY",,Existing
73,SH805V,"VAS DEFERENS, VARIOUS LESIONS, VASOEPIDIDYMOSTOMY (MICROSURGICAL)",,Existing
