S/N,Code,Description,Table,Classification
85,SF712B,"BILE DUCT/GALL BLADDER, ENDOSCOPY, ENDOSCOPIC SPHINCTEROTOMY +/- EXTRACTION OF  STONE",3C,Existing
86,SF713B,"BILE DUCTS, STONES, PERCUTANEOUS TRANSHEPATIC BILIARY STONES REMOVAL",3B,Existing
87,SF714B,"BOWEL (ESOPHAGUS, STOMACH, DUODENUM, COLON, RECTUM), STRICTURE, IMAGING GUIDED BALLOON
DILATATION",2C,Existing
88,SF715B,"BOWEL (ESOPHAGUS, STOMACH, DUODENUM, COLON, RECTUM), STRICTURE, IMAGING GUIDED STENT PLACEMENT",2C,Existing
89,SF716B,"BOWELS, ENDOSCOPIC ULTRASOUND WITH COELIAC AXIS NEUROLYSIS",3A,Existing
90,SF717B,"BOWELS, ENDOSCOPIC ULTRASOUND WITH FINE NEEDLE ASPIRATION",3A,Existing
91,SF718B,"BOWELS, ENDOSCOPIC ULTRASOUND WITHOUT FINE NEEDLE ASPIRATION",2C,Existing
92,SF719B,"BOWELS, ENDOSCOPIC ULTRASOUND WITH PSEUDOCYST DRAINAGE",3C,Existing
93,SF720B,"BOWELS, ENDOSCOPIC ULTRASOUND WITH STENT INSERTION",3C,Existing
94,SF800B,"BILE DUCT, BILIARY ATRESIA, PORTO-ENTEROSTOMY",6B,Existing
95,SF801B,"BILE DUCT, VARIOUS LESIONS, CHOLEDOCHO- DUODENOSTOMY/CHOLEDOCHO-GASTROSTOMY",4A,Existing
96,SF802B,"BILE DUCT, VARIOUS LESIONS, CHOLEDOCHO-
JEJUNOSTOMY",4C,Existing
97,SF803B,"BILE DUCT, VARIOUS LESIONS, CHOLEDOCHOTOMY (EXPLORATION COMMON BILE DUCT ONLY)",4C,Existing
98,SF804B,"BILE DUCT, VARIOUS LESIONS. HEPATICOJEJUNOSTOMY UP TO BUT NOT INCLUDING THE CONFLUENCE OF THE
HEPATIC DUCTS",5C,Existing
99,SF805B,"BILE DUCT, VARIOUS LESIONS, OPERATIVE CHOLEDOCHOSCOPY",1B,Existing
100,SF806B,"BILE DUCT, VARIOUS LESIONS, REVISION HIGH BILIARY STRICTURE/ RADICAL RESECTION",7C,Existing
101,SF807B,"BILE DUCT, VARIOUS LESIONS, TRANSDUODENAL SPHINCTEROPLASTY/ SPHINCTEROTOMY",5C,Existing
102,SF808B,"BILE DUCT, VARIOUS LESIONS, HEPATICOJEJUNOSTOMY INVOLVING ANASTOMOSIS TO HEPATIC DUCTS BUT WITHOUT LIVER RESECTION",6A,Existing
103,SF700C,CAPSULE ENDOSCOPY,3A,Existing
104,SF701C,"COLON, ANTERIOR RESECTION",6C,Descriptor change
105,SF702C,"COLON, COLONOSCOPY, FIBREOPTIC WITH/WITHOUT
BIOPSY",2C,Existing
106,SF703C,"COLON, COLONOSCOPY (SCREENING), FIBREOPTIC WITH/WITHOUT BIOPSY",2C,Existing
107,SF704C,"COLON, COLONOSCOPY, FIBREOPTIC WITH REMOVAL OF
POLYP (SINGLE OR MULTIPLE LESS THAN 1CM)7",3A,"Descriptor
change"
108,SF705C,"COLON, COLONOSCOPY, FIBREOPTIC WITH REMOVAL OF POLYPS (MULTIPLE MORE THAN 1CM)",3B,Existing
109,SF706C,"COLON, COLONOSCOPY (SCREENING), FIBREOPTIC WITH
REMOVAL OF POLYP (SINGLE OR MULTIPLE LESS THAN 1CM)",3A,Existing
110,SF707C,"COLON, COLONOSCOPY (SCREENING), FIBREOPTIC WITH REMOVAL OF POLYPS (MULTIPLE MORE THAN 1CM)",3B,Existing
7  To allow repeat procedures for remnant polyps to be coded under SF704C (with polypectomy) or SF702C (if no other procedure done).,,,,
111,SF708C,"COLON, COLONOSCOPY WITH ENDOSCOPIC MUCOSAL
RESECTION (EMR) OF LARGE POLYPS (>3CM)",3C,Existing
112,SF709C,"COLON, HIRSCHSPRUNG’S DISEASE, ENDORECTAL PULLTHROUGH (MIS)",5B,Existing
113,SF710C,"COLON, SIGMOID, SIGMOIDOSCOPY (FLEXIBLE), FIBREOPTIC WITH/WITHOUT BIOPSY",1B,Existing
114,SF711C,"COLON, SIGMOID, SIGMOIDOSCOPY WITH POLYPECTOMY WITH BIOPSY",1C,Existing
115,SF712C,"COLON, TOTAL COLECTOMY / SUBTOTAL COLECTOMY",6A,Existing
116,SF713C,"COLON, TOTAL PROCTOCOLECTOMY & ILEO-ANAL POUCH RECONSTRUCTION",6C,Existing
117,SF714C,"COLON, HIRSCHSPRUNG'S DISEASE, PULLTHROUGH FOR LONG SEGMENT DISEASE",6A,Descriptor change
118,SF800C,"COLON, COLOSTOMY, CLOSURE WITHOUT RESECTION OF BOWEL",4A,Existing
119,SF802C,"COLON, VARIOUS LESIONS, COLOSTOMY",4A,Existing
120,SF803C,"COLON, VARIOUS LESIONS, RIGHT/LEFT HEMICOLECTOMY",5C,Descriptor change
121,SF804C,"COLON, VARIOUS LESIONS, TOTAL COLECTOMY WITH ILEORECTAL ANASTOMOSIS/ILEOSTOMY",6A,Existing
122,SF805C,"COLON, VARIOUS LESIONS, TOTAL PROCTO-COLECTOMY AND ILEOSTOMY",6B,Existing
123,SF806C,"COLON, VARIOUS LESIONS, TRANVERSE/SIGMOID
COLECTOMY",5C,"Descriptor
change"
124,SF807C,"COLON, COLONOSCOPY WITH ENDOSCOPIC SUBMUCOSAL DISSECTION (ESD) OF LARGE POLYPS (>3CM)",4A,Existing
125,SF700D,"BOWELS, SINGLE/DOUBLE BALLOON ENTEROSCOPY, DIAGNOSTIC",3A,Existing
126,SF701D,"BOWELS, SINGLE/DOUBLE BALLOON ENTEROSCOPY, THERAPEUTIC",3C,Existing
127,SF702D,"DUODENUM, TUMOUR, PANCREAS PRESERVING DUODENECTOMY WITH RECONSTRUCTION OF AMPULLA",7C,Existing
128,SF800D,"DIAPHRAGM, DIAPHRAGMATIC/HIATUS HERNIA, REPAIR",4A,Descriptor change
129,SF801D,"DUODENUM, VARIOUS LESIONS, GASTROENTEROSTOMY/GASTRODUODENOSTOMY",4A,Existing
130,SF802D,"DUODENUM, TRAUMA, BYPASS OPERATION",5A,Existing
131,SF803D,"DUODENUM, TUMOR, PANCREATICO-DUODENECTOMY",7C,Existing
132,SF804D,"DUODENUM, ULCER, PARTIAL GASTRECTOMY",5C,Existing
133,SF805D,"DUODENUM, ULCER, VAGOTOMY - ALL TYPES",5C,Existing
134,SF700E,"ESOPHAGUS/STOMACH, GASTROSCOPY AND DILATATION",3A,Existing
135,SF702E,"ESOPHAGUS, DIVERTICULUM, EXCISION",5B,Descriptor change
136,SF703E,"ESOPHAGUS, MOTILITY DISORDER, LONG MYOTOMY",4B,Descriptor change
137,SF704E,"ESOPHAGUS/STOMACH/COLON, GASTROINTESTINAL
ENDOSCOPY, ABLATIVE TREATMENT",3A,Existing
138,SF705E,"ESOPHAGUS/INTESTINE/STOMACH, UPPER GI ENDOSCOPY WITH ENDOSCOPIC SUBMUCOSAL DISSECTION",3C,Existing
139,SF800E,"ESOPHAGUS, ACHALASIA, CARDIOMYOTOMY",4A,Descriptor change
140,SF801E,"ESOPHAGUS, ATRESIA, REPAIR AND ANASTOMOSIS",6B,Existing
141,SF802E,"ESOPHAGUS, BENIGN TUMOUR, RESECTION",5B,"Descriptor
change"
142,SF803E,"ESOPHAGUS, STRICTURE, DILATATION (ENDOSCOPIC)",2B,Existing
143,SF804E,"ESOPHAGUS, TUMOR, ALLISON/IVOR-LEWIS OPERATION",6B,Existing
144,SF805E,"ESOPHAGUS, TUMOR, BYPASS WITH STOMACH/INTESTINE",5C,Descriptor change
145,SF806E,"ESOPHAGUS, TUMOR, CERVICAL/LARYNGOPHARYNGECTOMY WITH TRACHEOSTOMY WITH/WITHOUT PLASTIC RECONSTRUCTION",7C,Existing
146,SF807E,"ESOPHAGUS/INTESTINE/STOMACH, UPPER GL ENDOSCOPY WITH INSERTION OF PROSTHESIS",3A,Existing
147,SF808E,"ESOPHAGUS/STOMACH, GASTROSCOPY WITH THERAPY EG. APC-FULGARISATION OF TUMOR",3A,Existing
148,SF809E,"ESOPHAGUS, TUMOR, TOTAL ESOPHAGECTOMY",7B,Existing
149,SF810E,"ESOPHAGUS, VARICES, ESOPHAGEAL/TRANSECTION WITH SPLENECTOMY",6B,Existing
150,SF811E,"ESOPHAGUS, VARICES, GASTRO ESOPHAGEAL DEVASCULARISATION WITH ESOPHAGEAL TRANSECTION",6B,Existing
151,SF812E,"ESOPHAGUS, VARIOUS LESIONS, CERVICAL ESOPHAGOSTOMY",3A,Existing
152,SF813E,"ESOPHAGUS/INTESTINE/STOMACH, UPPER GI ENDOSCOPY WITH COMPLICATED POLYPECTOMY (E.G. LARGE POLYP REQUIRING MULTIPLE PIECEMEAL RESECTIONS, MULTIPLE POLYPS >2, OR POLYPS WITH
COMPLICATIONS SUCH AS BLEEDING) OR ENDOSCOPIC MUCOSAL RESECTION",3A,Existing
153,SF700G,"GALLBLADDER, CHOLECYSTITIS, IMAGING GUIDED PERCUTANEOUS CHOLECYSTOSTOMY",2C,Existing
154,SF701G,"GALLBLADDER, TUMOUR, RADICAL CHOLECYSTECTOMY WITH SEGMENT 4B AND 5 LIVER RESECTION AND RADICAL LYMPHADENECTOMY",6C,Existing
155,SF702G,"GALLBLADDER, TUMOUR, RADICAL CHOLECYSTECTOMY WITH SEGMENT 4B AND 5 LIVER RESECTION AND RADICAL LYMPHADENECTOMY AND CHOLEDOCHECTOMY
WITH HEPATICO-ENTERIC ANASTOMOSIS",7A,Existing
156,SF703G,"GALLBLADDER, VARIOUS LESIONS, CHOLECYSTECTOMY AND REPAIR OF CHOLECYSTO-ENTERIC/ CHOLECYSTO- CHOLEDOCHAL FISTULA",6A,Descriptor change
157,SF704G,"GALLBLADDER, VARIOUS LESIONS, CHOLECYSTECTOMY WITH INTRAOPERATIVE CHOLANGIOGRAM",4B,Descriptor change
158,SF705G,"GALLBLADDER, VARIOUS LESIONS, CHOLECYSTECTOMY
AND TRANSCYSTIC COMMON BILE DUCT EXPLORATION",5A,"Descriptor
change"
159,SF706G,GALLBLADDER (COMPLICATED) CHOLECYESTECTOMY (PARTIAL/TOTAL),4C,Descriptor change
160,SF707G,"GALLBLADDER, VARIOUS LESIONS,  CHOLECYSTECTOMY, CHOLEDOCHOTOMY, COMMON BILE DUCT EXPLORATION WITH CHOLEDOCHO-DUODENOSTOMY",5C,Descriptor change
161,SF708G,RADICAL CHOLEDOCHECTOMY WITH LIVER RESECTION (LESS THAN 4 SEGMENTS),7A,Existing
162,SF709G,RADICAL CHOLEDOCHECTOMY WITH LIVER RESECTIONS (4 OR MORE SEGMENTS) OR WITH MULTIPLE HEPATICOENTERIC ANASTOMOSIS,7C,Existing
163,SF800G,"GALLBLADDER, VARIOUS LESIONS, CHOLECYSTOSTOMY",3B,Descriptor change
164,SF801G,"GALLBLADDER, VARIOUS LESIONS, CHOLECYSTECTOMY
(PARTIAL/TOTAL)",4A,"Descriptor
change"
165,SF802G,"GALLBLADDER, VARIOUS LESIONS, CHOLECYSTECTOMY AND CHOLEDOCHO- JEJUNOSTOMY/DUODENOSTOMY/GASTROSTOMY",5C,Existing
166,SF803G,"GALLBLADDER, VARIOUS LESIONS, CHOLECYSTO- DUODENOSTOMY/CHOLECYSTO- GASTRECTOMY/CHOLECYSTO-JEJUNOSTOMY",4A,Existing
167,SF700I,"OESOPHAGUS/STOMACH, UPPER GI ENDOSCOPY WITH POLYPECTOMY/ REMOVAL OF FOREIGN BODY/DIATHERMY OF BLEEDING LESIONS / INJECTION OF VARICES /  REMOVAL OF SINGLE POLYP",2C,Descriptor change
168,SF701I,"INTESTINE/STOMACH, UPPER GI ENDOSCOPY WITH/WITHOUT BIOPSY8",1B,Existing
169,SF702I,"INTESTINE, BLEEDING GIT, MESENTERIC ARTERY EMBOLISATION",4B,Existing
170,SF703I,"INTESTINE, SMALL BOWEL, ILEOSTOMY STENOSIS,
REVISION",3A,Existing
171,SF704I,"INTESTINE, SMALL BOWEL, VARIOUS LESIONS, ENTEROSTOMY",4A,Existing
172,SF705I,"INTESTINE, SMALL BOWEL, VARIOUS LESIONS,
INTUBATION WITH/WITHOUT BIOPSY",1B,Existing
173,SF706I,"INTESTINE, SMALL BOWEL, VARIOUS LESIONS, EXTENSIVE RESECTION WITH ANASTOMOSES, WITH OR WITHOUT STOMA",4C,Descriptor change
174,SF707I,"INTESTINE, SMALL BOWEL, VARIOUS LESIONS, SIMPLE RESECTION WITH ANASTOMOSES, WITH OR WITHOUT STOMA",4A,Descriptor change
175,SF708I,"INTESTINE, SMALL BOWEL, VITELLO-INTESTINAL FISTULA, EXCISION",3A,Existing
176,SF800I,"INTESTINE, ENTEROSTOMY, CLOSURE",3B,Existing
177,SF801I,"INTESTINE, INTUSSUSCEPTION, REDUCTION",3B,Descriptor change
178,SF802I,"INTESTINE, INTUSSUSCEPTION, REDUCTION BY FLUID",2A,Existing
179,SF803I,"INTESTINE, INTUSSUSCEPTION, RESECTION",4A,Existing
180,SF804I,"INTESTINE, TOTAL AGANGLIONOSIS, RECONSTRUCTION",6B,Existing
181,SF805I,"INTESTINE, MECKEL'S DIVERTICULUM, VARIOUS LESIONS, RESECTION",3B,Descriptor change
182,SF700L,"LIVER TRANSPLANT, DONATION (CADAVERIC DONOR)",5C,Existing
183,SF701L,"LIVER TRANSPLANT, DONATION (LIVE DONOR)",6B,Existing
184,SF702L,"LIVER TRANSPLANT, RECIPIENT",7C,Existing
185,SF703L,"LIVER, ABSCESS, IMAGING GUIDED PERCUTANEOUS
ASPIRATION",2A,Existing
186,SF704L,"LIVER, ABSCESS, IMAGING GUIDED PERCUTANEOUS DRAINAGE CATHETER INSERTION",2C,Existing
187,SF705L,"LIVER, PORTAL HYPERTENSION, TRANSJULAR INTRAHEPATIC PORTO-SYSTEMIC SHUNT CREATION
(TIPSS)",5A,Existing
188,SF706L,"LIVER, TUMOUR, IMAGING GUIDED PERCUTANEOUS
LOCAL ABLATION, SIMPLE (RADIOFREQUENCY, CRYOTHERAPY, MICROWAVE, LASER, ALCOHOL, ETC)",3C,Existing
8  Screening gastroscopy is not MediSave/ MediShield Life claimable.,,,,
189,SF707L,"LIVER, TUMOUR, TRANS-ARTERIAL CHEMO-
EMBOLIZATION (TACE)",4A,Existing
190,SF708L,"LIVER, TUMOUR, TRANS-ARTERIAL RADIO NUCLIDE INFUSION",4B,Existing
191,SF709L,"LIVER, VARIOUS LESIONS, MIS ULTRASOUND AND LOCAL ABLATION INCLUDING RADIO-FREQUENCY ABLATION",4B,Existing
192,SF710L,"LIVER, VARIOUS LESIONS, TRANSJUGULAR LIVER BIOPSY",3B,Existing
193,SF711L,"LIVER, VARIOUS LESIONS, IMAGING GUIDED PERCUTANEOUS BIOPSY (FOCAL LESIONS, TARGETED)",2A,Existing
194,SF712L,"LIVER, TUMOUR, IMAGING GUIDED PERCUTANEOUS LOCAL ABLATION, COMPLEX (RADIOFREQUENCY, CRYOTHERAPY, MICROWAVE, LASER, ALCOHOL, ETC)",4A,Existing
195,SF800L,"LIP, MUCOUS CYST/MUCOCELE, REMOVAL",1B,Existing
196,SF801L,"LIP, VARIOUS LESIONS, FULL THICKNESS WEDGE EXCISION WITH REPAIR",2C,Existing
197,SF802L,"LIP, VARIOUS LESIONS, RECONSTRUCTION USING FULL THICKNESS FLAP",5C,Existing
198,SF803L,"LIP, VARIOUS LESIONS, VERMILIONECTOMY",2C,Existing
199,SF804L,"LIVER, ABSCESS, TRANS-ABDOMINAL DRAINAGE",3C,Descriptor change
200,SF805L,"LIVER, HYDATID CYST, TRANS-ABDOMINAL DRAINAGE (PERCUTANEOUS)",3B,Existing
201,SF806L,"LIVER, OBSTRUCTIVE JAUNDICE, LONGMIRE
OPERATION/CHLODEDOCHO JEJUNOSTOMY",4C,Existing
202,SF807L,"LIVER, TRAUMA, MAJOR REPAIR LACERATION",6B,Existing
203,SF808L,"LIVER, TRAUMA, MINOR REPAIR LACERATION",4A,Existing
204,SF809L,"LIVER, TRAUMA/TUMOR, EXTENDED LOBECTOMY (5 SEGMENTS/MORE)",7C,Existing
205,SF810L,"LIVER, TRAUMA/TUMOR, HEPATIC ARTERY LIGATION",4B,Existing
206,SF811L,"LIVER, TRAUMA/TUMOR, LIVER TRANSPLANT",7C,Existing
207,SF812L,"LIVER, VARIOUS LESIONS, LOBECTOMY (3 - 4 SEGMENTS)",6B,"Descriptor
change"
208,SF813L,"LIVER, VARIOUS LESIONS, PARTIAL LOBECTOMY/SEGMENTAL RESECTION",5C,Descriptor change
209,SF814L,"LIVER, VARIOUS LESIONS, IMAGING GUIDED PERCUTANEOUS BIOPSY (LIVER PARENCHYMA, NON DIRECTED)",1C,Existing
210,SF815L,"LIVER, VARIOUS LESIONS, WEDGE/LOCAL EXCISION",4C,Descriptor change
211,SF700M,"MOUTH, DEFECT, MUCOUS MEMBRANE/CONNECTIVE TISSUE GRAFT",2A,Existing
212,SF701M,"MOUTH, FRENAL ATTACHMENT, RELEASE",1B,Existing
